farmer_id,season,side_share,yield_factor,severe_drought,defected_after
F01001,2019-K,0.393,1.027,False,False
F01002,2019-K,0.302,0.92,False,True
F01003,2019-K,0.567,0.992,False,False
F01004,2019-K,0.494,1.054,False,False
F01005,2019-K,0.522,1.011,False,False
F01006,2019-K,0.29,0.962,False,True
F01007,2019-K,0.297,0.962,False,True
F01008,2019-K,0.635,0.961,False,False
F01009,2019-K,0.713,1.014,False,False
F01010,2019-K,0.243,1.011,False,True
F01011,2019-K,0.461,0.963,False,False
F01012,2019-K,0.174,0.961,False,False
F01013,2019-K,0.592,0.958,False,False
F01014,2019-K,0.41,1.017,False,False
F01015,2019-K,0.48,0.936,False,False
F01016,2019-K,0.119,0.937,False,True
F01017,2019-K,0.491,1.046,False,False
F01018,2019-K,0.363,1.051,False,True
F01019,2019-K,0.753,1.036,False,False
F01020,2019-K,0.488,1.009,False,False
F01021,2019-K,0.75,1.01,False,False
F01022,2019-K,0.656,1.024,False,False
F01023,2019-K,0.784,1.015,False,False
F01024,2019-K,0.338,0.941,False,True
F01025,2019-K,0.338,0.946,False,True
F01026,2019-K,0.536,1.03,False,False
F01027,2019-K,0.12,0.923,False,False
F01028,2019-K,0.417,0.935,False,False
F01029,2019-K,0.57,1.045,False,False
F01030,2019-K,0.559,1.027,False,False
F01031,2019-K,0.497,0.987,False,False
F01032,2019-K,0.626,1.049,False,False
F01033,2019-K,0.237,0.979,False,True
F01034,2019-K,0.428,0.947,False,False
F01035,2019-K,0.738,0.982,False,False
F01036,2019-K,0.82,1.029,False,False
F01037,2019-K,0.703,1.002,False,False
F01038,2019-K,0.684,1.05,False,False
F01039,2019-K,0.034,1.026,False,True
F01040,2019-K,0.681,0.978,False,False
F01041,2019-K,0.352,1.002,False,True
F01042,2019-K,0.584,1.021,False,False
F01043,2019-K,0.701,0.964,False,False
F01044,2019-K,0.71,0.952,False,False
F01045,2019-K,0.475,1.015,False,False
F01046,2019-K,0.477,0.978,False,False
F01047,2019-K,0.461,1.031,False,False
F01048,2019-K,0.709,1.026,False,False
F01049,2019-K,0.132,0.966,False,True
F01050,2019-K,0.651,1.05,False,False
F01051,2019-K,0.493,0.987,False,False
F01052,2019-K,0.662,0.932,False,False
F01053,2019-K,0.558,0.942,False,False
F01054,2019-K,0.462,1.039,False,False
F01055,2019-K,0.825,0.932,False,False
F01056,2019-K,0.393,1.041,False,True
F01057,2019-K,0.642,0.942,False,False
F01058,2019-K,0.821,1.015,False,False
F01059,2019-K,0.161,1.055,False,False
F01060,2019-K,0.164,0.947,False,True
F01061,2019-K,0.317,0.924,False,True
F01062,2019-K,0.467,0.958,False,False
F01063,2019-K,0.468,0.941,False,False
F01064,2019-K,0.653,0.925,False,False
F01065,2019-K,0.64,1.022,False,False
F01066,2019-K,0.667,0.93,False,False
F01067,2019-K,0.41,0.974,False,False
F01068,2019-K,0.426,1.01,False,False
F01069,2019-K,0.324,0.969,False,True
F01070,2019-K,0.486,1.016,False,False
F01071,2019-K,0.575,1.036,False,False
F01072,2019-K,0.727,0.948,False,False
F01073,2019-K,0.244,0.965,False,True
F01074,2019-K,0.502,0.949,False,False
