farmer_id,village,district,state,gid,lat,lon,landholding_acres,collection_distance_km,join_year
F01001,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.48,23.4,2018
F01002,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.16,22.4,2016
F01003,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.47,20.8,2017
F01004,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.58,21.0,2019
F01005,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,5.33,22.9,2016
F01006,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.41,21.5,2017
F01007,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,2.16,20.7,2017
F01008,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.43,25.7,2015
F01009,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.45,21.7,2017
F01010,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,2.12,22.7,2019
F01011,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,4.54,20.8,2015
F01012,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,3.0,21.2,2017
F01013,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,2.83,21.2,2019
F01014,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.46,21.9,2019
F01015,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,4.0,23.0,2017
F01016,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.49,22.0,2017
F01017,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,3.6,21.4,2018
F01018,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,3.21,20.9,2015
F01019,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,2.32,21.6,2018
F01020,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,0.73,21.6,2015
F01021,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,2.25,24.7,2015
F01022,Ambodi,Yavatmal,Maharashtra,BRD-YTM,19.879,78.3297,1.7,23.4,2017
F01023,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.81,20.3,2017
F01024,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,8.15,21.8,2015
F01025,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,7.55,20.3,2017
F01026,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,2.73,20.0,2018
F01027,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,2.19,20.3,2017
F01028,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,3.36,19.8,2019
F01029,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,2.34,22.5,2019
F01030,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,0.7,21.3,2018
F01031,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,3.06,20.2,2016
F01032,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.82,22.5,2017
F01033,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.38,21.0,2017
F01034,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.29,21.2,2018
F01035,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.03,20.1,2018
F01036,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.85,20.4,2018
F01037,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.41,22.6,2017
F01038,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,7.18,21.8,2019
F01039,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,2.49,20.6,2016
F01040,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,3.22,20.9,2017
F01041,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,4.39,21.2,2015
F01042,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,3.54,19.6,2016
F01043,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,4.84,21.5,2016
F01044,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,3.99,24.1,2016
F01045,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,2.62,23.7,2019
F01046,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,0.97,22.2,2019
F01047,Chandur K,Yavatmal,Maharashtra,BRD-YTM,19.8037,78.3451,1.27,23.2,2017
