txn_id,date,season,gid,farmer_id,txn_type,item,qty_tons,rate_inr,amount_inr
T003471,2019-01-10,,BRD-DWS,F01955,DELIVERY,Soybean,1.0250000000000001,4840.0,49610.0
T003395,2019-01-11,,BRD-DWS,F01936,DELIVERY,Other,0.30400000000000005,4870.0,14805.0
T007320,2019-01-12,,BRD-DWS,F02016,INPUT_PURCHASE,Seeds,0.038,61.0,2305.0
T003829,2019-02-06,,BRD-DWS,F02060,INPUT_PURCHASE,Seeds,0.137,115.0,15740.0
T003704,2019-02-07,,BRD-DWS,F02024,INPUT_PURCHASE,Fertilizer,0.255,34.0,8683.0
T003483,2019-03-07,,BRD-DWS,F01959,INPUT_PURCHASE,Fertilizer,0.058,33.0,1939.0
T003686,2019-03-10,,BRD-DWS,F02019,DELIVERY,Other,2.31,4870.0,112643.0
T003609,2019-03-11,,BRD-DWS,F01995,DELIVERY,Other,1.561,4965.0,77504.0
T007042,2019-03-12,,BRD-DWS,F01916,INPUT_PURCHASE,Plant Protection,0.254,654.0,166134.0
T007151,2019-03-12,,BRD-DWS,F01950,INPUT_PURCHASE,Fertilizer,0.183,47.0,8689.0
T007238,2019-03-12,,BRD-DWS,F01978,INPUT_PURCHASE,Fertilizer,0.14,53.0,7451.0
T003411,2019-04-06,,BRD-DWS,F01939,INPUT_PURCHASE,Fertilizer,0.313,30.0,9312.0
T003344,2019-04-06,,BRD-DWS,F01920,INPUT_PURCHASE,Fertilizer,0.175,29.0,5077.0
T003554,2019-04-07,,BRD-DWS,F01978,INPUT_PURCHASE,Other,0.03,138.0,4146.0
T003744,2019-04-07,,BRD-DWS,F02035,INPUT_PURCHASE,Fertilizer,0.223,37.0,8289.0
T003343,2019-04-07,,BRD-DWS,F01920,INPUT_PURCHASE,Fertilizer,0.28,51.0,14308.0
T003525,2019-04-10,,BRD-DWS,F01972,DELIVERY,Soybean,0.082,4590.0,3764.0
T003396,2019-05-10,,BRD-DWS,F01936,DELIVERY,Other,1.356,4870.0,66037.0
T003426,2019-05-10,,BRD-DWS,F01943,DELIVERY,Soybean,0.242,4760.0,11519.0
T001963,2019-06-01,2019-K,BRD-AUR,F01514,INPUT_PURCHASE,Seeds,0.316,45.73,14450.68
T002465,2019-06-01,2019-K,BRD-IND,F01665,INPUT_PURCHASE,Seeds,0.06,120.0,7220.0
T000021,2019-06-01,2019-K,BRD-YTM,F01005,INPUT_PURCHASE,Seeds,0.133,72.04,9581.32
T000004,2019-06-01,2019-K,BRD-YTM,F01001,INPUT_PURCHASE,Seeds,0.083,124.07,10297.81
T001973,2019-06-01,2019-K,BRD-AUR,F01517,INPUT_PURCHASE,Fertilizer,0.254,57.28,14549.12
