farmer_id,season,crop,estimated_yield_tons
F01001,2019-K,Cotton,1.073
F01002,2019-K,Cotton,0.833
F01003,2019-K,Cotton,1.081
F01003,2019-K,Soybean,1.336
F01004,2019-K,Cotton,1.07
F01005,2019-K,Cotton,3.647
F01006,2019-K,Cotton,0.981
F01006,2019-K,Soybean,1.292
F01007,2019-K,Cotton,1.506
F01008,2019-K,Cotton,0.985
F01008,2019-K,Soybean,1.258
F01009,2019-K,Cotton,0.981
F01010,2019-K,Cotton,1.47
F01010,2019-K,Soybean,1.803
F01011,2019-K,Cotton,3.305
F01012,2019-K,Cotton,2.068
F01012,2019-K,Soybean,2.894
F01013,2019-K,Cotton,1.898
F01014,2019-K,Cotton,1.049
F01014,2019-K,Soybean,1.248
F01015,2019-K,Cotton,2.872
F01016,2019-K,Cotton,1.134
F01016,2019-K,Soybean,1.264
F01017,2019-K,Cotton,2.413
F01017,2019-K,Soybean,2.965
F01018,2019-K,Cotton,2.27
F01019,2019-K,Cotton,1.706
F01019,2019-K,Soybean,1.978
F01020,2019-K,Cotton,0.483
F01021,2019-K,Cotton,1.544
F01021,2019-K,Soybean,1.972
F01022,2019-K,Cotton,1.224
F01022,2019-K,Soybean,1.575
F01023,2019-K,Cotton,1.3
F01024,2019-K,Cotton,5.454
F01024,2019-K,Soybean,7.6
F01025,2019-K,Cotton,4.859
F01025,2019-K,Soybean,6.355
F01026,2019-K,Cotton,1.837
F01027,2019-K,Cotton,1.534
F01027,2019-K,Soybean,1.926
F01028,2019-K,Cotton,2.285
F01029,2019-K,Cotton,1.64
F01030,2019-K,Cotton,0.494
F01030,2019-K,Soybean,0.662
F01031,2019-K,Cotton,2.224
F01032,2019-K,Cotton,1.277
F01033,2019-K,Cotton,0.98
F01034,2019-K,Cotton,0.935
F01035,2019-K,Cotton,0.753
F01035,2019-K,Soybean,0.943
F01036,2019-K,Cotton,1.293
F01036,2019-K,Soybean,1.645
F01037,2019-K,Cotton,0.948
F01037,2019-K,Soybean,1.267
F01038,2019-K,Cotton,4.589
F01038,2019-K,Soybean,6.457
F01039,2019-K,Cotton,1.788
F01039,2019-K,Soybean,2.258
F01040,2019-K,Cotton,2.242
