txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T000652,05/10/2019,F01154,FPO_DELIVERY,Soybean (Yellow),1.26 quintals,"Rs. 4,765/-","Rs. 6,004/-",BRD-AMT
T000653,29/07/2019,F01154,loan,Loan Repayment,,,"Rs. 7,600/-",BRD-AMT
T000654,20/11/2019,F01154,L,Loan Repayment,,,"Rs. 1,600/-",BRD-AMT
T000655,29/10/2019,F01155,DELIVERY,soya,1.2 qtl,"Rs. 5,165/-","Rs. 6,146/-",BRD-AMT
T000656,27/11/2019,f01155,D,Soybean (Yellow),3.47 q,"Rs. 5,165/-","Rs. 17,923/-",BRD-AMT
T000657,02/10/2019,F01156,DELIVERY,Soybean (Yellow),1.80 q,"Rs. 4,645/-","Rs. 8,361/-",BRD-AMT
T000658,10/11/2019,f01156,DELIVERY,kapas,0.7 qtl,"Rs. 7,955/-","Rs. 5,250/-",BRD-AMT
T000659,26/11/2019,F01156,DELIVERY,Cotton,0.9 qtl,"Rs. 7,955/-","Rs. 7,319/-",BRD-AMT
T000660,01/06/2019,F01156,FERT_PURCHASE,DAP,152 kgs,Rs. 55/-,"Rs. 8,386/-",BRD-AMT
T000661,22/11/2019,F01157,delivery,Soybean (Yellow),0.43 quintals,"Rs. 5,000/-","Rs. 2,150/-",BRD-AMT
T000662,13/11/2019,F01157,Delivery,SOYABEAN,0.7 qtl,"Rs. 5,000/-","Rs. 3,600/-",BRD-AMT
T000663,18/06/2019,f01157,Input Purchase,FERTILIZER 50kg bag,209 kgs,Rs. 34/-,"Rs. 7,066/-",BRD-AMT
T000664,23/10/2019,F01158,Delivery,Soybean,15.1 qtl,"Rs. 4,555/-","Rs. 68,826/-",BRD-AMT
T000665,06/07/2019,f01158,input,SEEDS,273 kg,Rs. 81/-,"Rs. 22,007/-",BRD-AMT
T000666,01/06/2019,F01158,Input Purchase,NPK 10:26:26,122 kg,Rs. 34/-,"Rs. 4,194/-",BRD-AMT
T000667,25/06/2019,F01158,INPUT_PURCHASE,Hybrid Seeds,303 kg,Rs. 112/-,"Rs. 33,884/-",BRD-AMT
T000668,02/07/2019,F01158,FERT_PURCHASE,PP chemicals,109 kg,Rs. 607/-,"Rs. 66,148/-",BRD-AMT
T000669,05/10/2019,F01159,DELIVERY,soya,21.03 quintals,"Rs. 5,115/-","Rs. 1,07,568/-",BRD-AMT
T000670,30/11/2019,f01160,FPO_DELIVERY,SOYABEAN,13.4 qtl,"Rs. 5,280/-","Rs. 70,541/-",BRD-AMT
T000671,29/10/2019,F01160,delivery,kapas,1.52 quintals,"Rs. 8,125/-","Rs. 12,350/-",BRD-AMT
T000672,04/11/2019,f01160,FPO_DELIVERY,Cotton,7.3 qtl,"Rs. 8,125/-","Rs. 59,637.50",BRD-AMT
T000673,02/06/2019,F01160,Input Purchase,NPK 10:26:26,149 kgs,Rs. 31/-,"Rs. 4,661/-",BRD-AMT
T000674,16/11/2019,f01161,DELIVERY,Soybean (Yellow),1.15 q,"Rs. 4,870/-","Rs. 5,600.50",BRD-AMT
T000675,16/11/2019,F01161,D,SOYABEAN,6.0 qtl,"Rs. 4,870/-","Rs. 29,171/-",BRD-AMT
T000676,14/07/2019,F01161,input,PP chemicals,272 kgs,Rs. 121/-,"Rs. 32,871/-",BRD-AMT
T000677,15/10/2019,F01162,FPO_DELIVERY,soya,6.7 qtl,"Rs. 4,850/-","Rs. 32,689/-",BRD-AMT
T000678,19/10/2019,F01162,Delivery,Soybean,5.94 quintals,"Rs. 4,850/-","Rs. 28,809/-",BRD-AMT
T000679,14/07/2019,f01162,I,NPK 10:26:26,304 kg,Rs. 30/-,"Rs. 9,239/-",BRD-AMT
T000680,02/06/2019,F01162,I,Hybrid Seeds,77 kgs,Rs. 93/-,"Rs. 7,176/-",BRD-AMT
T000681,05/07/2019, F01162 ,LOAN_REPAY,EMI,,,"Rs. 3,500/-",BRD-AMT
