txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T001769,10/11/2019,F01458,delivery,SOYABEAN,884 kg,"₹4,705.00","₹41,592.20",BRD-AUR
T001770,27/10/2019,F01459,DELIVERY,Soybean (Yellow),334 kg,"₹4,440.00","₹14,829.60",BRD-AUR
T001771,25/10/2019,F01459,D,SOYABEAN,169.00 kgs,"₹4,440.00","₹7,503.60",BRD-AUR
T001772,09/06/2019,F01459,Input Purchase,DAP,94 kg,₹36.35,"₹3,416.90",BRD-AUR
T001773,10/07/2019,F01459,FERT_PURCHASE,NPK 10:26:26,32 kgs,₹35.47,"₹1,135.04",BRD-AUR
T001774,14/07/2019,F01459,input,FERTILIZER 50kg bag,173 kgs,₹47.49,"₹8,215.77",BRD-AUR
T001775,06/06/2019,F01459,input,DAP,56 kgs,₹54.46,"₹3,049.76",BRD-AUR
T001776,28/10/2019,F01460,D,SOYABEAN,495 kg,"₹4,645.00","₹22,992.75",BRD-AUR
T001777,27/11/2019,F01461,FPO_DELIVERY,SOYABEAN,"1,049.00 kgs","₹4,890.00","₹51,296.10",BRD-AUR
T001778,24/10/2019,F01461,delivery,Soybean,280 kg,"₹4,890.00","₹13,692.00",BRD-AUR
T001779,01/07/2019,F01461,INPUT_PURCHASE,NPK 10:26:26,79 kgs,₹54.66,"₹4,318.14",BRD-AUR
T001780,20 Jun 2019,f01461,INPUT_PURCHASE,FERTILIZER 50kg bag,213 kgs,₹56.49,"₹12,032.37",BRD-AUR
T001781,23/10/2019,F01461,L,EMI,,,"₹3,700.00",BRD-AUR
T001782,23 Nov 2019,F01462,D,SOYABEAN,117 kg,"₹4,680.00","₹5,475.60",BRD-AUR
T001783,24/10/2019,F01462,DELIVERY,Soybean (Yellow),511 kg,"₹4,680.00","₹23,914.80",BRD-AUR
T001784,16/11/2019,f01463,FPO_DELIVERY,Soybean,137.00 kgs,"₹4,970.00","₹6,808.90",BRD-AUR
T001785,10/10/2019,f01463,Delivery,SOYABEAN,20.00 kgs,"₹4,970.00",₹994.00,BRD-AUR
T001786,30/11/2019,F01463,Delivery,soya,273.00 kgs,"₹4,970.00","₹13,568.10",BRD-AUR
T001787,03/10/2019,F01464,Delivery,Soybean (Yellow),213 kg,"₹4,655.00","₹9,915.15",BRD-AUR
T001788,19/11/2019,F01464,delivery,soya,631 kg,"₹4,655.00","₹29,373.05",BRD-AUR
T001789,13/06/2019,F01464,INPUT_PURCHASE,Seeds,266 kg,₹48.25,"₹12,834.50",BRD-AUR
T001790,15/10/2019,F01465,delivery,SOYABEAN,899 kg,"₹4,865.00","₹43,736.35",BRD-AUR
T001791,07/06/2019,f01465,Input Purchase,FERTILIZER 50kg bag,247 kg,₹52.20,"₹12,893.40",BRD-AUR
T001792,14/07/2019,F01465,INPUT_PURCHASE,Fertilizer,117 kg,₹37.86,"₹4,429.62",BRD-AUR
T001793,04/11/2019,F01466,D,SOYABEAN,832 kg,"₹5,025.00","₹41,808.00",BRD-AUR
T001794,02/10/2019,F01466,FPO_DELIVERY,SOYABEAN,"1,005.00 kgs","₹5,025.00","₹50,501.25",BRD-AUR
T001795,11/07/2019, F01466 ,Input Purchase,Bio-pesticide,264 kgs,₹631.00,"₹1,66,584.00",BRD-AUR
T001796,18 Jun 2019,F01466,INPUT_PURCHASE,FERTILIZER 50kg bag,174 kg,₹38.77,"₹6,745.98",BRD-AUR
T001797,08/06/2019,f01466,FERT_PURCHASE,PP chemicals,87 kgs,₹381.23,"₹33,167.01",BRD-AUR
T001798,13/11/2019,f01467,FPO_DELIVERY,Soybean (Yellow),670 kg,"₹4,695.00","₹31,456.50",BRD-AUR
T001799,08/11/2019,F01467,delivery,SOYABEAN,175.00 kgs,"₹4,695.00","₹8,216.25",BRD-AUR
T001800,23/06/2019,F01467,FERT_PURCHASE,NPK 10:26:26,269 kg,₹58.40,"₹15,709.60",BRD-AUR
T001801,24/06/2019,F01467,Input Purchase,DAP,240 kg,₹42.44,"₹10,185.60",BRD-AUR
T001802,08/08/2019,F01467,LOAN_REPAY,Loan Repayment,,,"₹5,900.00",BRD-AUR
T001803,21/10/2019,F01467,L,EMI,,,"₹4,400.00",BRD-AUR
T001804,15/07/2019,F01467,loan,EMI,,,"₹1,300.00",BRD-AUR
T001805,27/10/2019,F01468,Delivery,Soybean (Yellow),261.00 kgs,"₹4,645.00","₹12,123.45",BRD-AUR
T001806,19/11/2019,F01468,FPO_DELIVERY,Soybean (Yellow),576.00 kgs,"₹4,645.00","₹26,755.20",BRD-AUR
T001807,02/06/2019,F01468,FERT_PURCHASE,Seeds,220 kgs,₹97.44,"₹21,436.80",BRD-AUR
T001808,21/08/2019,F01468,loan,EMI,,,"₹2,800.00",BRD-AUR
T001809,05/10/2019,F01469,DELIVERY,Soybean (Yellow),"1,279.00 kgs","₹4,935.00","₹63,118.65",BRD-AUR
T001810,09/06/2019,F01469,I,SEEDS,258 kg,₹124.54,"₹32,131.32",BRD-AUR
T001811,27/06/2019,F01469,FERT_PURCHASE,SEEDS,227 kgs,₹106.34,"₹24,139.18",BRD-AUR
