txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T003309,11/08/2019,F01911,FPO_DELIVERY,SOYABEAN,7.2 qtl,"INR 4,515/-","INR 32,373/-",BRD-DWS
T003310,06/17/2019,F01911,I,Fertilizer,148 kgs,INR 44/-,"INR 6,502/-",BRD-DWS
T003311,06/14/2019,F01911,Input Purchase,SEEDS,319 kg,INR 126/-,"INR 40,213/-",BRD-DWS
T003312,10/20/2019,F01912,Delivery,soya,1396 kg,"INR 4,835/-","INR 67,497/-",BRD-DWS
T003313,24/10/2019,F01912,D,soya,1.3 qtl,"INR 4,835/-","INR 6,286/-",BRD-DWS
T003314,10/08/2019,F01912,DELIVERY,Soybean,"2,056.00 kgs","INR 4,835/-","INR 99,408/-",BRD-DWS
T003315,11/14/2019,F01913,D,SOYABEAN,8.72 quintals,"INR 5,150/-","INR 44,908/-",BRD-DWS
T003316,11/07/2019,F01913,FERT_PURCHASE,Seeds,295 kg,INR 46/-,"INR 13,608/-",BRD-DWS
T003317,10/26/2019,F01914,delivery,Soybean (Yellow),1.8 qtl,"INR 5,015/-","INR 8,826/-",BRD-DWS
T003318,11/25/2019,F01914,D,soya,4.42 quintals,"INR 5,015/-","INR 22,166/-",BRD-DWS
T003319,06/05/2019,F01914,FERT_PURCHASE,PPC,289 kg,INR 357/-,"INR 1,03,052/-",BRD-DWS
T003320,07/02/2019,F01914,Input Purchase,NPK 10:26:26,193 kgs,INR 47/-,"INR 9,144/-",BRD-DWS
T003321,06/29/2019,f01914,Input Purchase,Hybrid Seeds,80 kg,INR 67/-,"INR 5,368/-",BRD-DWS
T003322,10/11/2019, F01915 ,Delivery,SOYABEAN,4.1 qtl,"INR 4,640/-","INR 19,210/-",BRD-DWS
T003323,11/03/2019,F01915,delivery,soya,19.99 q,"INR 4,640/-","INR 92,754/-",BRD-DWS
T003324,06/28/2019,f01915,I,NPK 10:26:26,269 kgs,INR 46/-,"INR 12,261/-",BRD-DWS
T003325,06/05/2019,f01915,input,FERTILIZER 50kg bag,298 kg,INR 60/-,"INR 17,740/-",BRD-DWS
T003326,12/07/2019,F01915,Input Purchase,DAP,233 kgs,INR 58/-,"INR 13,551/-",BRD-DWS
T003327,11/06/2019,F01916,D,Soybean,17.49 quintals,"INR 4,875/-","INR 85,264/-",BRD-DWS
T003328,10/30/2019,F01916,D,Soybean (Yellow),10.3 qtl,"INR 4,875/-","INR 50,310/-",BRD-DWS
T003329,06/02/2019, F01916 ,input,Seeds,57 kg,INR 94/-,"INR 5,365/-",BRD-DWS
T003330,06/23/2019,F01916,FERT_PURCHASE,Urea,301 kg,INR 49/-,"INR 14,617/-",BRD-DWS
T003331,31/10/2019,F01917,Delivery,soya,595.00 kgs,"INR 4,730/-","INR 28,144/-",BRD-DWS
T003332,06/04/2019,F01917,FERT_PURCHASE,Hybrid Seeds,69 kgs,INR 49/-,"INR 3,406/-",BRD-DWS
T003333,06/26/2019,f01917,input,Bio-pesticide,301 kgs,INR 364/-,"INR 1,09,570/-",BRD-DWS
T003334,07/29/2019,F01917,Loan Repayment,EMI,,,"INR 4,100/-",BRD-DWS
T003335,11/16/2019,F01918,delivery,Soybean,7.58 quintals,"INR 4,930/-","INR 37,369/-",BRD-DWS
T003336,14/11/2019, F01918 ,LOAN_REPAY,Loan Repayment,,,"INR 5,000/-",BRD-DWS
T003337,10/17/2019,F01919,Delivery,Soybean,1.34 q,"INR 5,040/-","INR 6,754/-",BRD-DWS
T003338,11/23/2019,F01919,FPO_DELIVERY,Soybean (Yellow),0.42 t,"INR 5,040/-","INR 21,067/-",BRD-DWS
T003339,11/19/2019,F01919,FPO_DELIVERY,Soybean (Yellow),116 kg,"INR 5,040/-","INR 5,846/-",BRD-DWS
T003340,07/09/2019,F01919,Input Purchase,PPC,313 kg,INR 234/-,"INR 73,095/-",BRD-DWS
T003341,06/17/2019,F01919,input,Fertilizer,44 kgs,INR 58/-,"INR 2,534/-",BRD-DWS
T003342,11/20/2019,F01920,D,Soybean (Yellow),10.71 q,"INR 5,010/-","INR 53,657/-",BRD-DWS
T003343,04/07/2019,F01920,FERT_PURCHASE,Urea,280 kg,INR 51/-,"INR 14,308/-",BRD-DWS
T003344,04/06/2019,F01920,FERT_PURCHASE,NPK 10:26:26,175 kgs,INR 29/-,"INR 5,077/-",BRD-DWS
T003345,06/04/2019,F01920,I,Fertilizer,248 kgs,INR 53/-,"INR 13,092/-",BRD-DWS
T003346,10/18/2019,F01921,Delivery,Soybean (Yellow),5.27 q,"INR 4,630/-","INR 24,400/-",BRD-DWS
T003347,11/21/2019,F01921,DELIVERY,SOYABEAN,0.62 MT,"INR 4,630/-","INR 28,938/-",BRD-DWS
T003348,10/18/2019,F01922,FPO_DELIVERY,Soybean,20.41 q,"INR 4,570/-","INR 93,274/-",BRD-DWS
T003349,09/30/2019,F01922,LOAN_REPAY,EMI,,,"INR 6,000/-",BRD-DWS
T003350,08/11/2019,F01922,L,EMI,,,"INR 5,200/-",BRD-DWS
T003351,10/16/2019,F01923,FPO_DELIVERY,Soybean (Yellow),23.45 quintals,"INR 4,800/-","INR 1,12,560/-",BRD-DWS
T003352,11/06/2019,F01923,Delivery,Soybean (Yellow),8.96 quintals,"INR 4,800/-","INR 43,008/-",BRD-DWS
T003353,21/06/2019,F01923,FERT_PURCHASE,Hybrid Seeds,251 kgs,INR 103/-,"INR 25,818/-",BRD-DWS
T003354,08/01/2019,F01923,LOAN_REPAY,Loan Repayment,,,"INR 7,100/-",BRD-DWS
T003355,27/10/2019,F01924,delivery,SOYABEAN,347.00 kgs,"INR 5,215/-","INR 18,096/-",BRD-DWS
T003356,10/13/2019,f01924,Delivery,Soybean (Yellow),15.37 quintals,"INR 5,215/-","INR 80,155/-",BRD-DWS
T003357,10/03/2019,F01925,FPO_DELIVERY,Soybean (Yellow),1815 kg,"INR 4,695/-","INR 85,214/-",BRD-DWS
T003358,07/04/2019,F01925,input,Urea,289 kgs,INR 36/-,"INR 10,317/-",BRD-DWS
T003359,06/19/2019,F01925,FERT_PURCHASE,Hybrid Seeds,38 kg,INR 59/-,"INR 2,232/-",BRD-DWS
T003360,07/23/2019,F01925,Loan Repayment,EMI,,,"INR 5,300/-",BRD-DWS
T003361,06/10/2019,F01925,L,EMI,,,"INR 6,500/-",BRD-DWS
T003362,25/11/2019,F01926,Delivery,SOYABEAN,467 kg,"INR 4,490/-","INR 20,968/-",BRD-DWS
T003363,10/02/2019,F01926,DELIVERY,soya,"1,977.00 kgs","INR 4,490/-","INR 88,767/-",BRD-DWS
T003364,06/28/2019,F01926,INPUT_PURCHASE,NPK 10:26:26,290 kg,INR 51/-,"INR 14,729/-",BRD-DWS
T003365,07/06/2019,F01926,FERT_PURCHASE,SEEDS,247 kgs,INR 68/-,"INR 16,714/-",BRD-DWS
T003366,11/01/2019, F01927 ,FPO_DELIVERY,SOYABEAN,3.94 q,"INR 4,885/-","INR 19,247/-",BRD-DWS
T003367,11/06/2019,F01927,D,soya,938 kg,"INR 4,885/-","INR 45,821/-",BRD-DWS
T003368,06/17/2019,F01927,INPUT_PURCHASE,SEEDS,181 kgs,INR 77/-,"INR 13,852/-",BRD-DWS
T003369,22/06/2019,F01927,input,FERTILIZER 50kg bag,134 kgs,INR 54/-,"INR 7,225/-",BRD-DWS
T003370,10/27/2019,F01928,FPO_DELIVERY,Soybean,1.02 MT,"INR 5,080/-","INR 51,714/-",BRD-DWS
T003371,10/28/2019,F01928,D,Soybean,"2,761.00 kgs","INR 5,080/-","INR 1,40,259/-",BRD-DWS
T003372,06/16/2019, F01928 ,FERT_PURCHASE,Urea,215 kgs,INR 42/-,"INR 9,052/-",BRD-DWS
T003373,06/09/2019,F01928,FERT_PURCHASE,Bio-pesticide,115 kgs,INR 127/-,"INR 14,572/-",BRD-DWS
T003374,10/19/2019,F01929,D,Soybean,792.00 kgs,"INR 4,815/-","INR 38,135/-",BRD-DWS
T003375,06/09/2019,F01929,Input Purchase,SEEDS,65 kgs,INR 120/-,"INR 7,832/-",BRD-DWS
T003376,06/05/2019,f01929,FERT_PURCHASE,Hybrid Seeds,63 kg,INR 93/-,"INR 5,848/-",BRD-DWS
T003377,06/08/2019,f01929,I,Fertilizer,220 kgs,INR 58/-,"INR 12,681/-",BRD-DWS
T003378,10/15/2019,F01929,L,EMI,,,"INR 2,700/-",BRD-DWS
T003379,10/26/2019,F01930,D,Soybean (Yellow),0.12 MT,"INR 4,780/-","INR 5,688/-",BRD-DWS
T003380,22/11/2019,F01930,delivery,SOYABEAN,1730 kg,"INR 4,780/-","INR 82,694/-",BRD-DWS
T003381,06/23/2019,F01930,Input Purchase,Seeds,231 kgs,INR 110/-,"INR 25,329/-",BRD-DWS
T003382,11/15/2019,F01931,delivery,SOYABEAN,"1,078.00 kgs","INR 5,160/-","INR 55,625/-",BRD-DWS
T003383,07/03/2019,f01931,FERT_PURCHASE,PPC,179 kg,INR 373/-,"INR 66,704/-",BRD-DWS
T003384,11/22/2019,F01932,DELIVERY,SOYABEAN,0.59 MT,"INR 4,890/-","INR 28,851/-",BRD-DWS
T003385,10/20/2019,F01932,DELIVERY,Soybean (Yellow),3.31 q,"INR 4,890/-","INR 16,186/-",BRD-DWS
T003386,06/21/2019,F01932,I,Fertilizer,146 kg,INR 32/-,"INR 4,618/-",BRD-DWS
T003387,06/10/2019,F01933,D,Soybean (Yellow),0.62 MT,"INR 5,025/-","INR 30,954/-",BRD-DWS
T003388,11/07/2019,F01933,delivery,soya,0.07 t,"INR 5,025/-","INR 3,467/-",BRD-DWS
T003389,06/08/2019,F01933,INPUT_PURCHASE,PP chemicals,124 kg,INR 219/-,"INR 27,170/-",BRD-DWS
T003390,11/08/2019,F01933,LOAN_REPAY,Loan Repayment,,,"INR 5,400/-",BRD-DWS
T003391,11/22/2019,F01934,Delivery,SOYABEAN,1003 kg,"INR 4,810/-","INR 48,244/-",BRD-DWS
T003392,11/28/2019,F01934,LOAN_REPAY,EMI,,,"INR 4,500/-",BRD-DWS
T003393,10/11/2019,f01935,D,Soybean,9.66 quintals,"INR 4,735/-","INR 45,740/-",BRD-DWS
T003394,10/01/2019,f01935,D,SOYABEAN,30.80 quintals,"INR 4,735/-","INR 1,45,838/-",BRD-DWS
T003395,01/11/2019,F01936,delivery,Soybean (Yellow),3.04 q,"INR 4,870/-","INR 14,805/-",BRD-DWS
T003396,05/10/2019,F01936,Delivery,Soybean (Yellow),"1,356.00 kgs","INR 4,870/-","INR 66,037/-",BRD-DWS
T003397,06/03/2019,F01936,input,Fertilizer,68 kg,INR 45/-,"INR 3,064/-",BRD-DWS
T003398,08/28/2019,F01936,LOAN_REPAY,Loan Repayment,,,"INR 7,200/-",BRD-DWS
T003399,11/12/2019,F01936,loan,Loan Repayment,,,"INR 6,000/-",BRD-DWS
T003400,11/26/2019,F01937,DELIVERY,Soybean (Yellow),850.00 kgs,"INR 4,855/-","INR 41,268/-",BRD-DWS
T003401,11/19/2019,F01937,DELIVERY,Soybean,5.72 quintals,"INR 4,855/-","INR 27,771/-",BRD-DWS
T003402,07/05/2019,F01937,I,PPC,26 kg,INR 592/-,"INR 15,395/-",BRD-DWS
T003403,10/30/2019,,LOAN_REPAY,EMI,,,"INR 3,000/-",BRD-DWS
T003404,11/07/2019,F01937,L,EMI,,,"INR 3,400/-",BRD-DWS
T003405,31/10/2019,f01937,loan,Loan Repayment,,,"INR 4,300/-",BRD-DWS
T003406,10/17/2019,F01938,Delivery,soya,0.04 t,"INR 4,785/-","INR 2,010/-",BRD-DWS
T003407,11/26/2019,F01938,delivery,soya,2.72 quintals,"INR 4,785/-","INR 13,015/-",BRD-DWS
T003408,10/31/2019,F01938,FPO_DELIVERY,Soybean,30 kg,"INR 4,785/-","INR 1,436/-",BRD-DWS
T003409,11/24/2019,F01939,DELIVERY,soya,1029 kg,"INR 5,070/-","INR 52,170/-",BRD-DWS
T003410,10/16/2019,F01939,D,SOYABEAN,6.37 quintals,"INR 5,070/-","INR 32,296/-",BRD-DWS
T003411,04/06/2019,F01939,INPUT_PURCHASE,Fertilizer,313 kg,INR 30/-,"INR 9,312/-",BRD-DWS
T003412,06/02/2019,F01939,FERT_PURCHASE,NPK 10:26:26,251 kg,INR 59/-,"INR 14,887/-",BRD-DWS
T003413,06/09/2019,F01939,INPUT_PURCHASE,Urea,280 kgs,INR 33/-,"INR 9,142/-",BRD-DWS
T003414,10/30/2019,F01940,D,Soybean (Yellow),1089 kg,"INR 4,545/-","INR 49,495/-",BRD-DWS
T003415,06/03/2019,F01940,Input Purchase,DAP,319 kgs,INR 48/-,"INR 15,248/-",BRD-DWS
T003416,06/27/2019,F01940,INPUT_PURCHASE,SEEDS,182 kgs,INR 97/-,"INR 17,632/-",BRD-DWS
T003417,06/24/2019,F01940,Input Purchase,Fertilizer,40 kg,INR 29/-,"INR 1,152/-",BRD-DWS
T003418,11/12/2019,f01941,Delivery,Soybean (Yellow),395.00 kgs,"INR 4,890/-","INR 19,316/-",BRD-DWS
T003419,10/22/2019,F01941,delivery,SOYABEAN,1.99 q,"INR 4,890/-","INR 9,731/-",BRD-DWS
T003420,14/07/2019,F01941,input,Hybrid Seeds,282 kg,INR 113/-,"INR 31,863/-",BRD-DWS
T003421,10/17/2019,F01941,loan,EMI,,,"INR 2,100/-",BRD-DWS
T003422,11/14/2019,f01942,DELIVERY,SOYABEAN,415.00 kgs,"INR 4,800/-","INR 19,920/-",BRD-DWS
T003423,11/22/2019, F01942 ,D,Soybean,5.8 qtl,"INR 4,800/-","INR 27,792/-",BRD-DWS
T003424,06/14/2019, F01942 ,INPUT_PURCHASE,NPK 10:26:26,280 kg,INR 53/-,"INR 14,834/-",BRD-DWS
T003425,06/08/2019,F01942,I,PP chemicals,279 kgs,INR 628/-,"INR 1,75,237/-",BRD-DWS
T003426,05/10/2019,F01943,delivery,SOYABEAN,242 kg,"INR 4,760/-","INR 11,519/-",BRD-DWS
T003427,10/27/2019,F01943,D,soya,35.00 kgs,"INR 4,760/-","INR 1,666/-",BRD-DWS
T003428,10/25/2019,f01944,D,soya,3.6 qtl,"INR 5,110/-","INR 18,192/-",BRD-DWS
T003429,10/29/2019,F01944,FPO_DELIVERY,Soybean (Yellow),3.75 q,"INR 5,110/-","INR 19,162/-",BRD-DWS
T003430,07/02/2019,F01944,FERT_PURCHASE,NPK 10:26:26,152 kg,INR 44/-,"INR 6,686/-",BRD-DWS
T003431,11/29/2019, F01945 ,FPO_DELIVERY,Soybean (Yellow),0.26 t,"INR 4,395/-","INR 11,295/-",BRD-DWS
T003432,06/07/2019,F01945,Input Purchase,Urea,105 kgs,INR 59/-,"INR 6,171/-",BRD-DWS
T003433,08/17/2019,F01945,LOAN_REPAY,EMI,,,"INR 4,500/-",BRD-DWS
T003434,10/29/2019,F01946,DELIVERY,Soybean,311 kg,"INR 4,830/-","INR 15,021/-",BRD-DWS
T003435,11/15/2019,f01946,DELIVERY,Soybean (Yellow),398 kg,"INR 4,830/-","INR 19,223/-",BRD-DWS
T003436,11/25/2019,F01946,Delivery,Soybean (Yellow),153 kg,"INR 4,830/-","INR 7,390/-",BRD-DWS
T003437,06/01/2019,F01946,INPUT_PURCHASE,Fertilizer,89 kg,INR 51/-,"INR 4,530/-",BRD-DWS
T003438,06/21/2019,F01946,I,PP chemicals,318 kg,INR 431/-,"INR 1,37,188/-",BRD-DWS
T003439,11/13/2019,F01947,delivery,SOYABEAN,0.12 t,"INR 4,735/-","INR 5,871/-",BRD-DWS
T003440,11/03/2019,F01947,D,Soybean,6.30 q,"INR 4,735/-","INR 29,830/-",BRD-DWS
T003441,10/06/2019,F01947,FPO_DELIVERY,Soybean,2.53 quintals,"INR 4,735/-","INR 11,980/-",BRD-DWS
T003442,07/18/2019,F01947,loan,Loan Repayment,,,"INR 7,900/-",BRD-DWS
T003443,10/30/2019,F01948,delivery,SOYABEAN,"1,565.00 kgs","INR 5,075/-","INR 79,424/-",BRD-DWS
T003444,06/02/2019,F01948,INPUT_PURCHASE,Bio-pesticide,260 kgs,INR 194/-,"INR 50,450/-",BRD-DWS
T003445,06/05/2019,F01948,input,DAP,128 kgs,INR 48/-,"INR 6,104/-",BRD-DWS
T003446,10/01/2019,F01948,Loan Repayment,EMI,,,"INR 6,800/-",BRD-DWS
T003447,09/04/2019,f01948,Loan Repayment,EMI,,,"INR 7,500/-",BRD-DWS
T003448,11/25/2019,F01949,Delivery,SOYABEAN,11.74 quintals,"INR 5,110/-","INR 59,991/-",BRD-DWS
T003449,07/14/2019,F01949,input,Seeds,187 kgs,INR 52/-,"INR 9,670/-",BRD-DWS
T003450,11/19/2019,F01950,D,soya,6.82 quintals,"INR 4,810/-","INR 32,804/-",BRD-DWS
T003451,06/01/2019,F01950,Input Purchase,DAP,104 kg,INR 40/-,"INR 4,175/-",BRD-DWS
T003452,11/11/2019,F01951,D,soya,,"INR 5,100/-","INR 53,652/-",BRD-DWS
T003453,11/23/2019,F01951,DELIVERY,Soybean,387 kg,"INR 5,100/-","INR 19,737/-",BRD-DWS
T003454,11/10/2019,F01951,delivery,soya,15.7 qtl,"INR 5,100/-","INR 80,172/-",BRD-DWS
T003455,06/17/2019,F01951,I,PPC,313 kgs,INR 215/-,"INR 67,236/-",BRD-DWS
T003456,07/09/2019,F01951,input,NPK 10:26:26,178 kg,INR 41/-,"INR 7,243/-",BRD-DWS
T003457,06/09/2019,F01951,INPUT_PURCHASE,Seeds,88 kgs,INR 79/-,"INR 6,911/-",BRD-DWS
T003458,07/04/2019,F01951,I,DAP,193 kg,INR 55/-,"INR 10,665/-",BRD-DWS
T003459,06/16/2019,F01951,L,EMI,,,"INR 3,600/-",BRD-DWS
T003460,10/29/2019, F01952 ,D,Soybean (Yellow),8.71 quintals,"INR 4,965/-","INR 43,245/-",BRD-DWS
T003461,10/24/2019,F01952,Delivery,soya,2.27 quintals,"INR 4,965/-","INR 11,271/-",BRD-DWS
T003462,06/13/2019,F01952,input,NPK 10:26:26,188 kgs,INR 33/-,"INR 6,243/-",BRD-DWS
T003463,06/01/2019,F01952,input,PPC,181 kgs,INR 154/-,"INR 27,883/-",BRD-DWS
T003464,07/28/2019,F01952,L,Loan Repayment,,,"INR 1,700/-",BRD-DWS
T003465,26/10/2019,F01952,Loan Repayment,Loan Repayment,,,"INR 7,600/-",BRD-DWS
T003466,07/24/2019,F01952,LOAN_REPAY,EMI,,,"INR 4,700/-",BRD-DWS
T003467,10/18/2019,F01953,DELIVERY,Soybean,3.58 q,"INR 4,820/-","INR 17,256/-",BRD-DWS
T003468,10/02/2019,F01953,Delivery,soya,3.54 quintals,"INR 4,820/-","INR 17,063/-",BRD-DWS
T003469,07/11/2019,F01953,FERT_PURCHASE,Urea,257 kg,INR 31/-,"INR 7,977/-",BRD-DWS
T003470,11/28/2019,F01954,D,soya,11.4 qtl,"INR 4,495/-","INR 51,288/-",BRD-DWS
T003471,01/10/2019,f01955,DELIVERY,SOYABEAN,10.25 quintals,"INR 4,840/-","INR 49,610/-",BRD-DWS
T003472,11/01/2019,F01956,delivery,soya,1389 kg,"INR 5,145/-","INR 71,464/-",BRD-DWS
T003473,11/03/2019,F01956,delivery,Soybean (Yellow),3.0 qtl,"INR 5,145/-","INR 15,229/-",BRD-DWS
T003474,06/05/2019,F01956,input,FERTILIZER 50kg bag,161 kg,INR 60/-,"INR 9,613/-",BRD-DWS
T003475,06/16/2019,F01956,FERT_PURCHASE,FERTILIZER 50kg bag,235 kg,INR 33/-,"INR 7,692/-",BRD-DWS
