txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T002315,18-11-2019, F01618 ,D,soya,451 kg,"₹ 4,775","₹ 21,535",BRD-IND
T002316,13-10-2019,F01619,D,Soybean (Yellow),240 kg,"₹ 4,955","₹ 11,892",BRD-IND
T002317,21-10-2019, F01619 ,Delivery,Soybean,173 kg,"₹ 4,955","₹ 8,572",BRD-IND
T002318,08-07-2019,F01619,FERT_PURCHASE,Seeds,165 kg,₹ 76,"₹ 12,593",BRD-IND
T002319,03-07-2019,F01619,input,Urea,261 kg,₹ 50,"₹ 13,045",BRD-IND
T002320,02-11-2019,F01620,DELIVERY,Soybean (Yellow),"1,693.00 kgs","₹ 5,260","₹ 89,052",BRD-IND
T002321,03-10-2019,F01620,delivery,SOYABEAN,160 kg,"₹ 5,260","₹ 8,416",BRD-IND
T002322,19-06-2019,F01620,input,Fertilizer,246 kg,₹ 50,"₹ 12,177",BRD-IND
T002323,13-10-2019,F01621,Delivery,Soybean (Yellow),207.00 kgs,"₹ 4,660","₹ 9,646",BRD-IND
T002324,14-07-2019,F01621,I,SEEDS,174 kgs,₹ 66,"₹ 11,418",BRD-IND
T002325,15-07-2019,F01621,FERT_PURCHASE,SEEDS,158 kgs,₹ 127,"₹ 20,139",BRD-IND
T002326,11-07-2019,F01621,input,DAP,103 kg,₹ 59,"₹ 6,054",BRD-IND
T002327,09-07-2019,f01621,input,Seeds,295 kg,₹ 78,"₹ 22,960",BRD-IND
T002328,04-06-2019,F01621,Input Purchase,DAP,182 kg,₹ 36,"₹ 6,508",BRD-IND
T002329,20-10-2019,F01622,DELIVERY,soya,428.00 kgs,"₹ 4,745","₹ 20,309",BRD-IND
T002330,14-11-2019,F01623,delivery,SOYABEAN,917.00 kgs,"₹ 4,695","₹ 43,053",BRD-IND
T002331,30-11-2019,F01624,D,SOYABEAN,217.00 kgs,"₹ 4,345","₹ 9,429",BRD-IND
T002332,10-11-2019,F01624,FPO_DELIVERY,Soybean,181 kg,"₹ 4,345","₹ 7,864",BRD-IND
T002333,26-11-2019,F01624,DELIVERY,soya,"1,155.00 kgs","₹ 4,345","₹ 50,185",BRD-IND
T002334,08-06-2019,F01624,input,PP chemicals,71 kg,₹ 517,"₹ 36,691",BRD-IND
T002335,08-07-2019, F01624 ,Input Purchase,Fertilizer,70 kg,₹ 33,"₹ 2,295",BRD-IND
T002336,31-10-2019,F01625,D,Soybean,13 kg,"₹ 4,880",₹ 634,BRD-IND
T002337,23-10-2019,F01625,DELIVERY,Soybean (Yellow),206 kg,"₹ 4,880","₹ 10,053",BRD-IND
T002338,22-10-2019,f01625,Delivery,SOYABEAN,286 kg,"₹ 4,880","₹ 13,957",BRD-IND
T002339,25-06-2019,F01625,FERT_PURCHASE,Bio-pesticide,92 kgs,₹ 403,"₹ 37,074",BRD-IND
T002340,28-10-2019,F01625,LOAN_REPAY,Loan Repayment,,,"₹ 3,200",BRD-IND
T002341,01-10-2019,F01626,FPO_DELIVERY,soya,70 kg,"₹ 4,520","₹ 3,164",BRD-IND
T002342,14-11-2019,f01626,FPO_DELIVERY,SOYABEAN,268.00 kgs,"₹ 4,520","₹ 12,114",BRD-IND
T002343,19-06-2019,F01626,INPUT_PURCHASE,DAP,315 kgs,₹ 34,"₹ 10,641",BRD-IND
T002344,09-10-2019, F01627 ,delivery,Soybean (Yellow),98.00 kgs,"₹ 4,825","₹ 4,728",BRD-IND
T002345,05-11-2019,F01627,delivery,SOYABEAN,262.00 kgs,"₹ 4,825","₹ 12,642",BRD-IND
T002346,14-09-2019,F01627,LOAN_REPAY,EMI,,,"₹ 7,100",BRD-IND
T002347,18-11-2019,F01628,FPO_DELIVERY,soya,161 kg,"₹ 4,785","₹ 7,704",BRD-IND
T002348,09-11-2019,F01628,DELIVERY,SOYABEAN,363 kg,"₹ 4,785","₹ 17,370",BRD-IND
T002349,24-06-2019,F01628,INPUT_PURCHASE,SEEDS,63 kgs,₹ 94,"₹ 5,915",BRD-IND
T002350,23-11-2019,F01629,FPO_DELIVERY,soya,343 kg,"₹ 4,765","₹ 16,344",BRD-IND
T002351,01-11-2019,F01629,DELIVERY,soya,209 kg,"₹ 4,765","₹ 9,959",BRD-IND
T002352,25-11-2019,F01630,D,SOYABEAN,"1,112.00 kgs","₹ 5,045","₹ 56,100",BRD-IND
T002353,08-11-2019,F01631,FPO_DELIVERY,soya,509 kg,"₹ 4,940","₹ 25,145",BRD-IND
T002354,23-06-2019,F01631,FERT_PURCHASE,FERTILIZER 50kg bag,216 kgs,₹ 47,"₹ 10,100",BRD-IND
T002355,07-06-2019,F01631,input,Hybrid Seeds,49 kg,₹ 123,"₹ 6,009",BRD-IND
T002356,11-11-2019,F01632,delivery,Soybean (Yellow),,"₹ 4,775","₹ 14,802",BRD-IND
T002357,18-10-2019,F01633,delivery,Soybean,436.00 kgs,"₹ 5,255","₹ 22,912",BRD-IND
T002358,24-11-2019, F01633 ,D,Soybean (Yellow),"1,191.00 kgs","₹ 5,255","₹ 62,587",BRD-IND
T002359,23-06-2019,F01633,input,Fertilizer,34 kg,₹ 57,"₹ 1,952",BRD-IND
T002360,02-07-2019,F01633,input,Urea,291 kgs,₹ 58,"₹ 16,747",BRD-IND
T002361,27-10-2019,F01634,D,SOYABEAN,79.00 kgs,"₹ 4,705","₹ 3,717",BRD-IND
T002362,20-10-2019,F01634,D,soya,14.00 kgs,"₹ 4,705",₹ 659,BRD-IND
T002363,19-06-2019,F01634,FERT_PURCHASE,Fertilizer,220 kg,₹ 40,"₹ 8,837",BRD-IND
T002364,16-11-2019,F01635,delivery,SOYABEAN,375 kg,"₹ 4,680","₹ 17,550",BRD-IND
T002365,19-10-2019,F01635,D,SOYABEAN,330.00 kgs,"₹ 4,680","₹ 15,444",BRD-IND
T002366,11-07-2019,F01635,input,Seeds,285 kg,₹ 92,"₹ 26,308",BRD-IND
T002367,24-06-2019,f01635,FERT_PURCHASE,Fertilizer,130 kg,₹ 54,"₹ 6,960",BRD-IND
T002368,04-06-2019,F01635,loan,EMI,,,"₹ 3,400",BRD-IND
T002369,17-11-2019,f01636,D,Soybean (Yellow),"1,084.00 kgs","₹ 4,990","₹ 54,092",BRD-IND
T002370,28-11-2019,f01636,delivery,soya,96 kg,"₹ 4,990","₹ 4,790",BRD-IND
T002371,24-06-2019,F01636,FERT_PURCHASE,Hybrid Seeds,294 kgs,₹ 82,"₹ 24,008",BRD-IND
T002372,07-10-2019,F01637,D,soya,3726 kg,"₹ 4,755","₹ 1,77,171",BRD-IND
T002373,01-07-2019,F01637,input,Seeds,317 kgs,₹ 72,"₹ 22,795",BRD-IND
T002374,14-06-2019,F01637,loan,EMI,,,"₹ 3,900",BRD-IND
T002375,05-08-2019,F01637,loan,Loan Repayment,,,"₹ 7,500",BRD-IND
