TXN_ID,TXN_DATE,FARMER_ID,TXN_TYPE,ITEM,QTY,RATE_INR,AMOUNT_INR,GID
T001256,11/01/2019,f01301,DELIVERY,PADDY,"2,528.00 kgs",INR 2080.00,INR 52582.40,BRD-NSK
T001257,07/06/2019, F01301 ,Input Purchase,Seeds,195 kgs,INR 67.06,INR 13076.70,BRD-NSK
T001258,06/01/2019, F01301 ,I,Hybrid Seeds,315 kg,INR 71.16,INR 22415.40,BRD-NSK
T001259,10/02/2019,F01302,D,Paddy (Rainfed),2610 kg,INR 2195.00,INR 57289.50,BRD-NSK
T001260,11/27/2019,F01302,loan,Loan Repayment,,,INR 4800.00,BRD-NSK
T001261,10/31/2019,F01303,delivery,Sona Masoori Paddy,2733 kg,INR 2325.00,INR 63542.25,BRD-NSK
T001262,06/18/2019,f01303,INPUT_PURCHASE,FERTILIZER 50kg bag,159 kgs,INR 55.99,INR 8902.41,BRD-NSK
T001263,07/04/2019,F01303,I,PPC,121 kg,INR 516.09,INR 62446.89,BRD-NSK
T001264,07/04/2019,F01303,FERT_PURCHASE,Urea,174 kg,INR 35.97,INR 6258.78,BRD-NSK
T001265,06/02/2019,F01303,Input Purchase,FERTILIZER 50kg bag,105 kg,INR 37.92,INR 3981.60,BRD-NSK
T001266,11/25/2019, F01304 ,DELIVERY,PADDY,"1,897.00 kgs",INR 2225.00,INR 42208.25,BRD-NSK
T001267,11/11/2019,F01304,Delivery,PADDY,"1,810.00 kgs",INR 2225.00,INR 40272.50,BRD-NSK
T001268,06/24/2019,F01304,INPUT_PURCHASE,Urea,206 kg,INR 52.87,INR 10891.22,BRD-NSK
T001269,06/10/2019,F01304,Input Purchase,SEEDS,81 kgs,INR 65.96,INR 5342.76,BRD-NSK
T001270,10/04/2019,F01305,delivery,Sona Masoori Paddy,"1,288.00 kgs",INR 2140.00,INR 27563.20,BRD-NSK
T001271,11/26/2019,F01305,delivery,Paddy (Rainfed),322 kg,INR 2140.00,INR 6890.80,BRD-NSK
T001272,08/30/2019,f01305,L,EMI,,,INR 2500.00,BRD-NSK
T001273,10/19/2019,F01306,DELIVERY,Paddy,2061 kg,INR 2140.00,INR 44105.40,BRD-NSK
T001274,10/16/2019,F01307,Delivery,PADDY,"2,249.00 kgs",INR 2100.00,INR 47229.00,BRD-NSK
T001275,10/27/2019,F01307,delivery,Sona Masoori Paddy,597 kg,INR 2100.00,INR 12537.00,BRD-NSK
T001276,11/23/2019,F01307,D,Paddy,308 kg,INR 2100.00,INR 6468.00,BRD-NSK
T001277,07/15/2019,F01307,I,FERTILIZER 50kg bag,212 kgs,INR 51.49,INR 10915.88,BRD-NSK
T001278,07/05/2019,F01307,I,Urea,253 kgs,INR 48.95,INR 12384.35,BRD-NSK
T001279,07/19/2019,F01307,Loan Repayment,EMI,,,INR 7300.00,BRD-NSK
T001280,10/13/2019,F01308,delivery,Paddy,4668 kg,INR 2175.00,INR 101529.00,BRD-NSK
T001281,07/13/2019,F01308,FERT_PURCHASE,Urea,103 kg,INR 29.47,INR 3035.41,BRD-NSK
T001282,06/07/2019,F01308,Input Purchase,DAP,159 kgs,INR 41.01,INR 6520.59,BRD-NSK
T001283,06/16/2019,f01308,FERT_PURCHASE,SEEDS,190 kgs,INR 96.11,INR 18260.90,BRD-NSK
T001284,10/13/2019,F01309,DELIVERY,Sona Masoori Paddy,"2,823.00 kgs",INR 2180.00,INR 61541.40,BRD-NSK
T001285,06/16/2019,F01309,input,NPK 10:26:26,34 kgs,INR 48.29,INR 1641.86,BRD-NSK
T001286,07/09/2019,F01309,input,Urea,173 kgs,INR 37.69,INR 6520.37,BRD-NSK
T001287,10/23/2019,F01310,delivery,paddy,77.00 kgs,INR 2175.00,INR 1674.75,BRD-NSK
T001288,11/10/2019,F01310,Delivery,Paddy,"1,451.00 kgs",INR 2175.00,INR 31559.25,BRD-NSK
T001289,10/16/2019,F01311,D,Paddy,1884 kg,INR 2385.00,INR 44933.40,BRD-NSK
T001290,06/30/2019,F01311,Input Purchase,NPK 10:26:26,61 kgs,INR 36.71,INR 2239.31,BRD-NSK
T001291,09/20/2019,F01311,Loan Repayment,Loan Repayment,,,INR 2200.00,BRD-NSK
T001292,06/09/2019,F01311,Loan Repayment,EMI,,,INR 7400.00,BRD-NSK
T001293,11/21/2019,F01312,Delivery,PADDY,5311 kg,INR 2105.00,INR 111796.55,BRD-NSK
T001294,06/25/2019,F01312,input,Urea,253 kgs,INR 31.93,INR 8078.29,BRD-NSK
T001295,06/27/2019,F01312,FERT_PURCHASE,NPK 10:26:26,140 kg,INR 32.31,INR 4523.40,BRD-NSK
T001296,07/05/2019,F01312,Input Purchase,Bio-pesticide,111 kg,INR 496.99,INR 55165.89,BRD-NSK
T001297,06/04/2019,f01312,input,FERTILIZER 50kg bag,60 kg,INR 45.76,INR 2745.60,BRD-NSK
T001298,10/30/2019,f01313,FPO_DELIVERY,Sona Masoori Paddy,875.00 kgs,INR 2160.00,INR 18900.00,BRD-NSK
T001299,10/07/2019,F01313,Delivery,Paddy (Rainfed),324.00 kgs,INR 2160.00,INR 6998.40,BRD-NSK
T001300,11/07/2019,f01313,LOAN_REPAY,EMI,,,INR 7300.00,BRD-NSK
T001301,11/12/2019,f01314,D,PADDY,"1,499.00 kgs",INR 2415.00,INR 36200.85,BRD-NSK
T001302,10/17/2019,f01315,Delivery,PADDY,"1,533.00 kgs",INR 2290.00,INR 35105.70,BRD-NSK
T001303,11/15/2019,F01315,FPO_DELIVERY,Sona Masoori Paddy,"2,496.00 kgs",INR 2290.00,INR 57158.40,BRD-NSK
T001304,10/04/2019,f01316,DELIVERY,Paddy (Rainfed),2880 kg,INR 2170.00,INR 62496.00,BRD-NSK
T001305,11/12/2019,F01317,delivery,Paddy (Rainfed),4798 kg,INR 2195.00,INR 105316.10,BRD-NSK
T001306,06/04/2019, F01317 ,input,PP chemicals,284 kg,INR 348.02,INR 98837.68,BRD-NSK
T001307,08/01/2019,f01317,LOAN_REPAY,EMI,,,INR 2900.00,BRD-NSK
T001308,11/08/2019,F01317,loan,EMI,,,INR 6900.00,BRD-NSK
T001309,11/01/2019,f01318,Delivery,Paddy,708 kg,INR 2180.00,INR 15434.40,BRD-NSK
T001310,11/18/2019,F01318,delivery,Paddy (Rainfed),25 kg,INR 2180.00,INR 545.00,BRD-NSK
T001311,11/27/2019,F01319,DELIVERY,Sona Masoori Paddy,3262 kg,INR 2365.00,INR 77146.30,BRD-NSK
T001312,10/28/2019, F01319 ,Delivery,Paddy (Rainfed),"1,924.00 kgs",INR 2365.00,INR 45502.60,BRD-NSK
T001313,06/12/2019,F01319,Input Purchase,NPK 10:26:26,83 kgs,INR 42.06,INR 3490.98,BRD-NSK
T001314,11/01/2019,F01320,D,Sona Masoori Paddy,"2,092.00 kgs",INR 2165.00,INR 45291.80,BRD-NSK
T001315,11/01/2019,F01320,DELIVERY,PADDY,"1,259.00 kgs",INR 2165.00,INR 27257.35,BRD-NSK
T001316,10/17/2019,F01320,Delivery,paddy,705 kg,INR 2165.00,INR 15263.25,BRD-NSK
T001317,07/07/2019,F01320,Input Purchase,Fertilizer,268 kgs,INR 47.03,INR 12604.04,BRD-NSK
T001318,07/04/2019,F01320,I,DAP,108 kgs,INR 30.58,INR 3302.64,BRD-NSK
T001319,06/10/2019,F01320,Input Purchase,Seeds,261 kg,INR 85.47,INR 22307.67,BRD-NSK
T001320,11/07/2019,f01321,Delivery,PADDY,"2,591.00 kgs",INR 2340.00,INR 60629.40,BRD-NSK
T001321,11/10/2019,F01322,FPO_DELIVERY,Paddy (Rainfed),"2,795.00 kgs",INR 2195.00,INR 61350.25,BRD-NSK
T001322,10/12/2019,F01322,D,paddy,1411 kg,INR 2195.00,INR 30971.45,BRD-NSK
T001323,06/12/2019,F01322,FERT_PURCHASE,Urea,299 kgs,INR 37.49,INR 11209.51,BRD-NSK
T001324,11/22/2019,F01323,delivery,PADDY,3097 kg,INR 2145.00,INR 66430.65,BRD-NSK
T001325,11/15/2019,F01323,Delivery,Sona Masoori Paddy,619 kg,INR 2145.00,INR 13277.55,BRD-NSK
T001326,10/28/2019,F01324,Delivery,Paddy,"6,858.00 kgs",INR 2220.00,INR 152247.60,BRD-NSK
T001327,07/04/2019,f01324,FERT_PURCHASE,DAP,119 kgs,INR 43.10,INR 5128.90,BRD-NSK
T001328,08/27/2019,F01324,L,EMI,,,INR 2200.00,BRD-NSK
T001329,06/15/2019,F01324,Loan Repayment,Loan Repayment,,,INR 4600.00,BRD-NSK
T001330,11/14/2019,F01325,DELIVERY,Sona Masoori Paddy,"3,717.00 kgs",INR 2195.00,INR 81588.15,BRD-NSK
T001331,06/27/2019,F01325,INPUT_PURCHASE,NPK 10:26:26,85 kg,INR 32.02,INR 2721.70,BRD-NSK
T001332,06/02/2019,F01325,I,DAP,143 kg,INR 31.45,INR 4497.35,BRD-NSK
T001333,10/12/2019,F01326,D,PADDY,662 kg,INR 2235.00,INR 14795.70,BRD-NSK
T001334,11/09/2019,F01326,D,Paddy,495.00 kgs,INR 2235.00,INR 11063.25,BRD-NSK
T001335,11/27/2019,f01326,FPO_DELIVERY,Paddy (Rainfed),619 kg,INR 2235.00,INR 13834.65,BRD-NSK
T001336,07/13/2019,F01326,I,Seeds,244 kg,INR 105.30,INR 25693.20,BRD-NSK
T001337,06/18/2019,F01326,INPUT_PURCHASE,SEEDS,135 kgs,INR 102.61,INR 13852.35,BRD-NSK
T001338,07/02/2019,F01326,Input Purchase,DAP,83 kgs,INR 35.91,INR 2980.53,BRD-NSK
T001339,09/12/2019,F01326,L,EMI,,,INR 3200.00,BRD-NSK
T001340,11/02/2019,F01327,FPO_DELIVERY,Paddy,"3,120.00 kgs",INR 2195.00,INR 68484.00,BRD-NSK
T001341,11/21/2019,F01327,Delivery,Paddy (Rainfed),380.00 kgs,INR 2195.00,INR 8341.00,BRD-NSK
T001342,11/21/2019,F01328,delivery,Paddy,647.00 kgs,INR 2135.00,INR 13813.45,BRD-NSK
T001343,10/26/2019,F01328,Delivery,paddy,1427 kg,INR 2135.00,INR 30466.45,BRD-NSK
T001344,07/07/2019,F01328,Input Purchase,DAP,101 kgs,INR 57.64,INR 5821.64,BRD-NSK
T001345,11/15/2019,F01329,Delivery,paddy,11 kg,INR 2240.00,INR 246.40,BRD-NSK
T001346,10/25/2019, F01329 ,D,Paddy,"3,013.00 kgs",INR 2240.00,INR 67491.20,BRD-NSK
T001347,06/27/2019,F01329,Input Purchase,Urea,112 kgs,INR 43.30,INR 4849.60,BRD-NSK
T001348,09/27/2019,F01329,loan,Loan Repayment,,,INR 3000.00,BRD-NSK
T001349,10/12/2019,F01329,loan,Loan Repayment,,,INR 4400.00,BRD-NSK
T001350,11/24/2019,F01330,DELIVERY,PADDY,1413 kg,INR 2155.00,INR 30450.15,BRD-NSK
T001351,07/03/2019,F01330,input,Hybrid Seeds,319 kg,INR 79.68,INR 25417.92,BRD-NSK
T001352,11/29/2019,F01331,delivery,Sona Masoori Paddy,"3,093.00 kgs",INR 2060.00,INR 63715.80,BRD-NSK
T001353,11/13/2019,F01331,D,Sona Masoori Paddy,4146 kg,INR 2060.00,INR 85407.60,BRD-NSK
T001354,07/11/2019,F01331,I,PP chemicals,135 kgs,INR 528.29,INR 71319.15,BRD-NSK
T001355,10/06/2019,F01332,DELIVERY,Paddy,"3,087.00 kgs",INR 2170.00,INR 66987.90,BRD-NSK
T001356,10/10/2019,,D,PADDY,"2,568.00 kgs",INR 2170.00,INR 55725.60,BRD-NSK
T001357,10/25/2019,f01332,FPO_DELIVERY,Sona Masoori Paddy,"1,382.00 kgs",INR 2170.00,INR 29989.40,BRD-NSK
T001358,10/07/2019,F01333,delivery,Paddy (Rainfed),2085 kg,INR 2285.00,INR 47642.25,BRD-NSK
T001359,06/24/2019,F01333,input,Urea,233 kgs,INR 28.24,INR 6579.92,BRD-NSK
T001360,11/17/2019,F01334,DELIVERY,paddy,523 kg,INR 2110.00,INR 11035.30,BRD-NSK
T001361,06/24/2019,F01334,FERT_PURCHASE,PP chemicals,153 kgs,INR 333.60,INR 51040.80,BRD-NSK
T001362,06/23/2019,F01334,INPUT_PURCHASE,SEEDS,66 kg,INR 89.25,INR 5890.50,BRD-NSK
T001363,11/08/2019,F01334,LOAN_REPAY,Loan Repayment,,,INR 5400.00,BRD-NSK
T001364,10/04/2019,F01335,Delivery,Paddy (Rainfed),"3,893.00 kgs",INR 2270.00,INR 88371.10,BRD-NSK
T001365,10/23/2019,F01335,D,paddy,1054 kg,INR 2270.00,INR 23925.80,BRD-NSK
T001366,06/17/2019,F01335,input,Hybrid Seeds,261 kg,INR 72.39,INR 18893.79,BRD-NSK
T001367,06/16/2019,f01335,INPUT_PURCHASE,SEEDS,307 kgs,INR 87.18,INR 26764.26,BRD-NSK
T001368,11/02/2019,F01336,FPO_DELIVERY,PADDY,242.00 kgs,INR 2155.00,INR 5215.10,BRD-NSK
T001369,10/16/2019,F01336,delivery,paddy,317.00 kgs,INR 2155.00,INR 6831.35,BRD-NSK
T001370,07/09/2019,F01336,Input Purchase,Hybrid Seeds,236 kg,INR 127.06,INR 29986.16,BRD-NSK
T001371,07/09/2019,F01336,LOAN_REPAY,EMI,,,INR 4700.00,BRD-NSK
T001372,09/06/2019,F01336,Loan Repayment,EMI,,,INR 6300.00,BRD-NSK
T001373,07/29/2019,F01336,loan,EMI,,,INR 6200.00,BRD-NSK
T001374,09/21/2019,F01336,L,Loan Repayment,,,INR 6200.00,BRD-NSK
T001375,11/08/2019,F01336,L,EMI,,,INR 3800.00,BRD-NSK
T001376,10/19/2019,F01337,Delivery,paddy,4409 kg,INR 2115.00,INR 93250.35,BRD-NSK
T001377,10/18/2019,F01337,FPO_DELIVERY,Sona Masoori Paddy,766 kg,INR 2115.00,INR 16200.90,BRD-NSK
T001378,07/03/2019,F01337,I,FERTILIZER 50kg bag,269 kg,INR 29.47,INR 7927.43,BRD-NSK
T001379,06/12/2019,F01337,input,DAP,272 kg,INR 43.37,INR 11796.64,BRD-NSK
T001380,06/18/2019,F01337,I,FERTILIZER 50kg bag,284 kgs,INR 45.59,INR 12947.56,BRD-NSK
T001381,07/10/2019,F01337,INPUT_PURCHASE,Urea,238 kgs,INR 59.78,INR 14227.64,BRD-NSK
T001382,11/01/2019,F01337,L,Loan Repayment,,,INR 2200.00,BRD-NSK
T001383,10/02/2019,F01337,LOAN_REPAY,EMI,,,INR 5600.00,BRD-NSK
T001384,10/13/2019,F01338,Delivery,Paddy (Rainfed),4183 kg,INR 2160.00,INR 90352.80,BRD-NSK
T001385,10/02/2019, F01338 ,Delivery,Paddy (Rainfed),"1,897.00 kgs",INR 2160.00,INR 40975.20,BRD-NSK
T001386,06/24/2019,F01338,I,Hybrid Seeds,220 kg,INR 110.75,INR 24365.00,BRD-NSK
T001387,11/19/2019,F01339,D,Paddy,813 kg,INR 2235.00,INR 18170.55,BRD-NSK
T001388,10/16/2019,F01339,Delivery,Sona Masoori Paddy,4973 kg,INR 2235.00,INR 111146.55,BRD-NSK
T001389,06/30/2019, F01339 ,FERT_PURCHASE,Fertilizer,317 kgs,INR 53.07,INR 16823.19,BRD-NSK
T001390,11/19/2019,F01339,loan,Loan Repayment,,,INR 7000.00,BRD-NSK
