txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T003839,30/11/2019,F02063,delivery,Groundnut,574 kg,"₹ 7,580.00","₹ 43,509.20",BRD-RTL
T003840,16/11/2019,F02063,D,GROUNDNUT (Pods),502 kg,"₹ 7,580.00","₹ 38,051.60",BRD-RTL
T003841,01/06/2019,F02063,FERT_PURCHASE,Fertilizer,192 kgs,₹ 32.00,"₹ 6,144.00",BRD-RTL
T003842,05/10/2019,F02064,D,Groundnut,34.6 qtl,"₹ 7,915.00","₹ 2,74,254.75",BRD-RTL
T003843,14/11/2019,F02064,FPO_DELIVERY,Soybean,2420 kg,"₹ 4,905.00","₹ 1,18,701.00",BRD-RTL
T003844,01/10/2019,F02064,delivery,SOYABEAN,329 kg,"₹ 4,905.00","₹ 16,137.45",BRD-RTL
T003845,09/06/2019,F02064,FERT_PURCHASE,Hybrid Seeds,310 kgs,₹ 83.09,"₹ 25,757.90",BRD-RTL
T003846,05/11/2019,F02065,D,GROUNDNUT (Pods),"1,497.00 kgs","₹ 6,975.00","₹ 1,04,415.75",BRD-RTL
T003847,16/11/2019,F02065,delivery,GROUNDNUT (Pods),53.33 q,"₹ 6,975.00","₹ 3,71,976.75",BRD-RTL
T003848,01/11/2019,F02066,DELIVERY,GROUNDNUT (Pods),5.3 qtl,"₹ 7,560.00","₹ 40,294.80",BRD-RTL
T003849,21/10/2019,F02066,Delivery,Groundnut Pods,1.1 qtl,"₹ 7,560.00","₹ 8,013.60",BRD-RTL
T003850,27/11/2019,F02066,Delivery,Groundnut,345.00 kgs,"₹ 7,560.00","₹ 26,082.00",BRD-RTL
T003851,29/06/2019,F02066,Input Purchase,Bio-pesticide,317 kgs,₹ 683.30,"₹ 2,16,606.10",BRD-RTL
T003852,18/10/2019,F02067,DELIVERY,mungfali,1709 kg,"₹ 7,065.00","₹ 1,20,740.85",BRD-RTL
T003853,02/07/2019,F02067,INPUT_PURCHASE,Hybrid Seeds,288 kgs,₹ 91.55,"₹ 26,366.40",BRD-RTL
T003854,14/06/2019,F02067,INPUT_PURCHASE,Fertilizer,227 kg,₹ 47.21,"₹ 10,716.67",BRD-RTL
T003855,25/11/2019,F02068,delivery,Groundnut Pods,1.28 t,"₹ 6,700.00","₹ 86,028.00",BRD-RTL
T003856,17/10/2019,F02068,Delivery,mungfali,130 kg,"₹ 6,700.00","₹ 8,710.00",BRD-RTL
T003857,23/09/2019,F02068,Loan Repayment,Loan Repayment,,,"₹ 3,700.00",BRD-RTL
T003858,24/11/2019,F02068,loan,Loan Repayment,,,"₹ 2,300.00",BRD-RTL
T003859,04/11/2019,F02068,LOAN_REPAY,Loan Repayment,,,"₹ 5,300.00",BRD-RTL
T003860,13/11/2019,F02069,D,GROUNDNUT (Pods),1.12 t,"₹ 6,270.00","₹ 70,161.30",BRD-RTL
T003861,22/11/2019, F02069 ,delivery,Groundnut,33.75 quintals,"₹ 6,270.00","₹ 2,11,612.50",BRD-RTL
T003862,32/01/2022,F02070,DELIVERY,GROUNDNUT (Pods),2065 kg,"₹ 7,805.00","₹ 1,61,173.25",BRD-RTL
T003863,01/10/2019,F02071,DELIVERY,Groundnut,15.6 qtl,"₹ 7,040.00","₹ 1,10,035.20",BRD-RTL
T003864,23/10/2019,F02071,DELIVERY,soya,649 kg,"₹ 4,640.00","₹ 30,113.60",BRD-RTL
T003865,23/11/2019,F02071,Delivery,SOYABEAN,3.23 quintals,"₹ 4,640.00","₹ 14,987.20",BRD-RTL
T003866,18/11/2019,F02071,delivery,soya,0.2 qtl,"₹ 4,640.00","₹ 1,020.80",BRD-RTL
T003867,30/11/2019,F02072,DELIVERY,Groundnut,4480 kg,"₹ 7,300.00","₹ 3,27,040.00",BRD-RTL
T003868,31/10/2019,F02072,FPO_DELIVERY,Groundnut Pods,"1,538.00 kgs","₹ 7,300.00","₹ 1,12,274.00",BRD-RTL
T003869,02/10/2019,F02072,Delivery,Groundnut Pods,1816 kg,"₹ 7,300.00","₹ 1,32,568.00",BRD-RTL
T003870,27/11/2019,F02072,FPO_DELIVERY,soya,4591 kg,"₹ 4,795.00","₹ 2,20,138.45",BRD-RTL
T003871,08/10/2019,F02072,Delivery,SOYABEAN,1.67 MT,"₹ 4,795.00","₹ 79,932.65",BRD-RTL
T003872,26/06/2019,F02072,FERT_PURCHASE,SEEDS,225 kgs,₹ 49.74,"₹ 11,191.50",BRD-RTL
T003873,19/06/2019,F02072,FERT_PURCHASE,Urea,40 kgs,₹ 43.22,"₹ 1,728.80",BRD-RTL
T003874,09/10/2019,F02073,Delivery,Groundnut Pods,664.00 kgs,"₹ 7,140.00","₹ 47,409.60",BRD-RTL
T003875,17/10/2019,F02073,delivery,GROUNDNUT (Pods),8.21 quintals,"₹ 7,140.00","₹ 58,619.40",BRD-RTL
T003876,10/07/2019,F02073,input,PPC,229 kg,₹ 609.03,"₹ 1,39,467.87",BRD-RTL
T003877,05/07/2019,f02073,input,Bio-pesticide,300 kg,₹ 226.55,"₹ 67,965.00",BRD-RTL
T003878,24/11/2019,F02074,DELIVERY,Groundnut Pods,929.00 kgs,"₹ 7,380.00","₹ 68,560.20",BRD-RTL
T003879,14/06/2019,F02074,Input Purchase,Seeds,161 kgs,₹ 48.63,"₹ 7,829.43",BRD-RTL
T003880,02/06/2019,F02074,INPUT_PURCHASE,DAP,114 kg,₹ 46.03,"₹ 5,247.42",BRD-RTL
T003881,10/10/2019,F02075,D,Groundnut,544 kg,"₹ 7,355.00","₹ 40,011.20",BRD-RTL
T003882,21/11/2019,F02075,FPO_DELIVERY,Groundnut Pods,226 kg,"₹ 7,355.00","₹ 16,622.30",BRD-RTL
T003883,28/10/2019,F02075,D,Groundnut Pods,266.00 kgs,"₹ 7,355.00","₹ 19,564.30",BRD-RTL
T003884,10/06/2019,F02075,loan,Loan Repayment,,,"₹ 7,300.00",BRD-RTL
T003885,24/10/2019,F02076,delivery,Groundnut,15.63 q,"₹ 7,125.00","₹ 1,11,363.75",BRD-RTL
T003886,31/10/2019,F02076,DELIVERY,GROUNDNUT (Pods),719 kg,"₹ 7,125.00","₹ 51,228.75",BRD-RTL
T003887,25/11/2019,F02076,FPO_DELIVERY,SOYABEAN,25 kg,"₹ 4,600.00","₹ 1,150.00",BRD-RTL
T003888,24/11/2019,F02076,D,Soybean (Yellow),1819 kg,"₹ 4,600.00","₹ 83,674.00",BRD-RTL
T003889,04/07/2019,F02076,FERT_PURCHASE,Hybrid Seeds,161 kgs,₹ 53.32,"₹ 8,584.52",BRD-RTL
T003890,24/06/2019,F02076,INPUT_PURCHASE,FERTILIZER 50kg bag,177 kg,₹ 28.46,"₹ 5,037.42",BRD-RTL
T003891,08/07/2019,F02076,input,FERTILIZER 50kg bag,275 kg,₹ 46.96,"₹ 12,914.00",BRD-RTL
T003892,08/10/2019, F02077 ,Delivery,Groundnut Pods,253 kg,"₹ 7,555.00","₹ 19,114.15",BRD-RTL
T003893,13/11/2019,F02077,D,mungfali,1591 kg,"₹ 7,555.00","₹ 1,20,200.05",BRD-RTL
T003894,26/10/2019,F02077,FPO_DELIVERY,GROUNDNUT (Pods),4.4 qtl,"₹ 7,555.00","₹ 33,393.10",BRD-RTL
T003895,12/06/2019,f02077,FERT_PURCHASE,FERTILIZER 50kg bag,116 kgs,₹ 46.19,"₹ 5,358.04",BRD-RTL
T003896,10/06/2019,F02077,input,PP chemicals,172 kg,₹ 165.43,"₹ 28,453.96",BRD-RTL
T003897,12/07/2019,F02077,input,Fertilizer,287 kg,₹ 42.46,"₹ 12,186.02",BRD-RTL
T003898,32/01/2022,F02078,FPO_DELIVERY,GROUNDNUT (Pods),6.8 qtl,"₹ 6,875.00","₹ 46,818.75",BRD-RTL
T003899,17/10/2019,F02078,Delivery,SOYABEAN,3.56 q,"₹ 4,725.00","₹ 16,821.00",BRD-RTL
T003900,02/10/2019,f02078,delivery,Soybean (Yellow),206.00 kgs,"₹ 4,725.00","₹ 9,733.50",BRD-RTL
T003901,20/06/2019,F02078,I,Fertilizer,174 kg,₹ 57.81,"₹ 10,058.94",BRD-RTL
T003902,29/06/2019,F02078,Input Purchase,Seeds,155 kgs,₹ 107.67,"₹ 16,688.85",BRD-RTL
T003903,20/11/2019,F02079,Delivery,Groundnut,11.92 q,"₹ 7,285.00","₹ 86,837.20",BRD-RTL
T003904,08/06/2019,F02079,input,FERTILIZER 50kg bag,70 kg,₹ 50.02,"₹ 3,501.40",BRD-RTL
T003905,21/11/2019,F02080,D,mungfali,3.9 qtl,"₹ 7,080.00","₹ 27,895.20",BRD-RTL
T003906,30/11/2019,F02080,Delivery,Groundnut Pods,636 kg,"₹ 7,080.00","₹ 45,028.80",BRD-RTL
T003907,02/06/2019,F02080,INPUT_PURCHASE,FERTILIZER 50kg bag,210 kgs,₹ 30.83,"₹ 6,474.30",BRD-RTL
T003908,03/06/2019,F02080,input,Hybrid Seeds,118 kg,₹ 46.99,"₹ 5,544.82",BRD-RTL
T003909,23/11/2019,F02081,D,Groundnut,9.5 qtl,"₹ 7,115.00","₹ 67,877.10",BRD-RTL
T003910,15/10/2019,F02081,DELIVERY,SOYABEAN,5.5 qtl,"₹ 4,785.00","₹ 26,173.95",BRD-RTL
T003911,08/10/2019,F02081,FPO_DELIVERY,Soybean (Yellow),1.78 quintals,"₹ 4,785.00","₹ 8,517.30",BRD-RTL
T003912,25/10/2019,F02081,D,SOYABEAN,0.11 t,"₹ 4,785.00","₹ 5,024.25",BRD-RTL
