txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T002786,28/10/19,F01762,D,Soybean (Yellow),"2,536.00 kgs","Rs 5,035.00","Rs 1,27,687.60",BRD-UJN
T002787,22/10/19,F01763,Delivery,SOYABEAN,555 kg,"Rs 5,365.00","Rs 29,775.75",BRD-UJN
T002788,08/07/19,F01763,input,Hybrid Seeds,100 kgs,Rs 61.66,"Rs 6,166.00",BRD-UJN
T002789,27/06/19,F01763,FERT_PURCHASE,Urea,134 kgs,Rs 36.21,"Rs 4,852.14",BRD-UJN
T002790,30/10/19,F01764,delivery,SOYABEAN,5.00 kgs,"Rs 5,095.00",Rs 254.75,BRD-UJN
T002791,25/10/19,F01764,FPO_DELIVERY,SOYABEAN,408.00 kgs,"Rs 5,095.00","Rs 20,787.60",BRD-UJN
T002792,27/11/19,F01764,Delivery,Soybean (Yellow),1115 kg,"Rs 5,095.00","Rs 56,809.25",BRD-UJN
T002793,11/07/19,F01764,loan,Loan Repayment,,,"Rs 5,600.00",BRD-UJN
T002794,12/11/19,F01765,delivery,soya,"2,666.00 kgs","Rs 5,205.00","Rs 1,38,765.30",BRD-UJN
T002795,06/06/19,F01765,Input Purchase,Hybrid Seeds,146 kgs,Rs 97.19,"Rs 14,189.74",BRD-UJN
T002796,06/07/19,F01765,Input Purchase,Seeds,254 kg,Rs 57.46,"Rs 14,594.84",BRD-UJN
T002797,30/06/19,f01765,input,Bio-pesticide,272 kg,Rs 280.49,"Rs 76,293.28",BRD-UJN
T002798,26/11/19,F01766,Delivery,SOYABEAN,399 kg,"Rs 4,925.00","Rs 19,650.75",BRD-UJN
T002799,27/11/19,F01766,FPO_DELIVERY,Soybean,3.01 quintals,"Rs 4,925.00","Rs 14,824.25",BRD-UJN
T002800,26/06/19,F01766,INPUT_PURCHASE,Seeds,272 kg,Rs 55.64,"Rs 15,134.08",BRD-UJN
T002801,06/06/19,F01766,input,PPC,55 kgs,Rs 396.45,"Rs 21,804.75",BRD-UJN
T002802,30/06/19,F01766,INPUT_PURCHASE,FERTILIZER 50kg bag,231 kgs,Rs 58.42,"Rs 13,495.02",BRD-UJN
T002803,16/06/19,F01766,INPUT_PURCHASE,Seeds,305 kg,Rs 70.43,"Rs 21,481.15",BRD-UJN
T002804,09/10/19,F01767,delivery,Soybean (Yellow),141.00 kgs,"Rs 5,190.00","Rs 7,317.90",BRD-UJN
T002805,04/11/19,F01767,DELIVERY,Soybean (Yellow),1.6 qtl,"Rs 5,190.00","Rs 8,459.70",BRD-UJN
T002806,22/06/19,F01767,I,FERTILIZER 50kg bag,290 kg,Rs 50.45,"Rs 14,630.50",BRD-UJN
T002807,23/10/19, F01768 ,D,soya,211 kg,"Rs 4,670.00","Rs 9,853.70",BRD-UJN
T002808,04/11/19,F01768,Delivery,Soybean (Yellow),398 kg,"Rs 4,670.00","Rs 18,586.60",BRD-UJN
