txn_id,txn_date,farmer_id,txn_type,item,qty,rate_inr,amount_inr,gid
T000001,22/11/2019,F01001,DELIVERY,Cotton Kapas,3.14 quintals,"₹ 8,260.00","₹ 25,936.40",BRD-YTM
T000002,18/11/2019,F01001,delivery,COTTON (Kapas),1.5 qtl,"₹ 8,260.00","₹ 12,555.20",BRD-YTM
T000003,20/06/2019,f01001,Input Purchase,SEEDS,44 kgs,₹ 120.63,"₹ 5,307.72",BRD-YTM
T000004,01/06/2019,F01001,INPUT_PURCHASE,Hybrid Seeds,83 kg,₹ 124.07,"₹ 10,297.81",BRD-YTM
T000005,03/07/2019,F01001,loan,EMI,,,"₹ 5,700.00",BRD-YTM
T000006,26/11/2019,F01001,loan,Loan Repayment,,,"₹ 4,200.00",BRD-YTM
T000007,14/10/2019,F01002,D,COTTON (Kapas),0.65 quintals,"₹ 7,420.00","₹ 4,823.00",BRD-YTM
T000008,03/11/2019, F01002 ,delivery,Cotton,1.24 quintals,"₹ 7,420.00","₹ 9,200.80",BRD-YTM
T000009,24/11/2019,f01003,FPO_DELIVERY,Cotton,2.0 qtl,"₹ 7,910.00","₹ 15,582.70",BRD-YTM
T000010,12/10/2019,f01003,DELIVERY,COTTON (Kapas),3.27 q,"₹ 7,910.00","₹ 25,865.70",BRD-YTM
T000011,15/11/2019,F01003,D,COTTON (Kapas),0.49 quintals,"₹ 7,910.00","₹ 3,875.90",BRD-YTM
T000012,16/10/2019,F01003,D,Soybean (Yellow),7.23 quintals,"₹ 5,245.00","₹ 37,921.35",BRD-YTM
T000013,21/06/2019,F01003,Input Purchase,SEEDS,77 kg,₹ 75.65,"₹ 5,825.05",BRD-YTM
T000014,09/07/2019,f01003,INPUT_PURCHASE,SEEDS,158 kg,₹ 86.33,"₹ 13,640.14",BRD-YTM
T000015,30/11/2019,F01004,FPO_DELIVERY,Cotton,0.97 quintals,"₹ 7,770.00","₹ 7,536.90",BRD-YTM
T000016,16/10/2019,F01004,delivery,Cotton Kapas,4.32 q,"₹ 7,770.00","₹ 33,566.40",BRD-YTM
T000017,08/06/2019,F01004,I,FERTILIZER 50kg bag,210 kgs,₹ 32.04,"₹ 6,728.40",BRD-YTM
T000018,17/11/2019,F01005,D,COTTON (Kapas),10.76 quintals,"₹ 7,790.00","₹ 83,820.40",BRD-YTM
T000019,02/11/2019,F01005,delivery,COTTON (Kapas),9.21 quintals,"₹ 7,790.00","₹ 71,745.90",BRD-YTM
T000020,13/06/2019,F01005,FERT_PURCHASE,Urea,238 kg,₹ 29.81,"₹ 7,094.78",BRD-YTM
T000021,01/06/2019, F01005 ,input,Hybrid Seeds,133 kgs,₹ 72.04,"₹ 9,581.32",BRD-YTM
T000022,14/10/2019,F01006,delivery,COTTON (Kapas),2.23 quintals,"₹ 7,845.00","₹ 17,494.35",BRD-YTM
T000023,13/10/2019, F01006 ,FPO_DELIVERY,Cotton Kapas,0.2 qtl,"₹ 7,845.00","₹ 1,647.45",BRD-YTM
T000024,30/11/2019,F01006,D,Cotton,0.06 quintals,"₹ 7,845.00",₹ 470.70,BRD-YTM
T000025,18/10/2019,F01006,D,soya,2.34 quintals,"₹ 4,635.00","₹ 10,845.90",BRD-YTM
T000026,19/11/2019,f01006,delivery,SOYABEAN,1.01 quintals,"₹ 4,635.00","₹ 4,681.35",BRD-YTM
