district,season,normal_rainfall_mm,rainfall_mm,deviation_frac
Yavatmal,2019-K,920.9,944.7,0.0258
Amravati,2019-K,950.5,886.7,-0.0671
Nashik,2019-K,683.0,725.0,0.0615
Aurangabad,2019-K,916.4,913.2,-0.0035
Indore,2019-K,694.8,685.8,-0.0129
Ujjain,2019-K,779.8,742.6,-0.0477
Dewas,2019-K,875.4,950.3,0.0856
Ratlam,2019-K,805.2,796.5,-0.0108
Yavatmal,2019-R,120.7,117.1,-0.03
Amravati,2019-R,138.8,135.4,-0.0246
Nashik,2019-R,158.3,164.2,0.0373
Aurangabad,2019-R,145.0,148.7,0.0256
Indore,2019-R,121.5,125.0,0.0289
Ujjain,2019-R,154.9,159.5,0.0302
Dewas,2019-R,147.6,165.3,0.12
Ratlam,2019-R,105.9,102.9,-0.0284
Yavatmal,2020-K,920.9,887.9,-0.0359
Amravati,2020-K,950.5,896.4,-0.057
Nashik,2020-K,683.0,712.4,0.0431
Aurangabad,2020-K,916.4,988.8,0.079
Indore,2020-K,694.8,689.3,-0.008
Ujjain,2020-K,779.8,733.9,-0.0588
Dewas,2020-K,875.4,824.8,-0.0577
Ratlam,2020-K,805.2,841.9,0.0455
Yavatmal,2020-R,120.7,127.0,0.052
Amravati,2020-R,138.8,144.1,0.038
Nashik,2020-R,158.3,150.9,-0.0466
Aurangabad,2020-R,145.0,147.4,0.0163
Indore,2020-R,121.5,122.5,0.0082
Ujjain,2020-R,154.9,157.2,0.0153
Dewas,2020-R,147.6,156.6,0.061
Ratlam,2020-R,105.9,107.6,0.0157
Yavatmal,2021-K,920.9,601.9,-0.3464
Amravati,2021-K,950.5,955.0,0.0047
Nashik,2021-K,683.0,696.8,0.0202
Aurangabad,2021-K,916.4,956.9,0.0442
Indore,2021-K,694.8,624.0,-0.102
Ujjain,2021-K,779.8,762.3,-0.0224
Dewas,2021-K,875.4,846.5,-0.0329
Ratlam,2021-K,805.2,769.2,-0.0447
Yavatmal,2021-R,120.7,118.4,-0.0193
Amravati,2021-R,138.8,153.3,0.1046
Nashik,2021-R,158.3,148.7,-0.0606
Aurangabad,2021-R,145.0,154.9,0.0678
Indore,2021-R,121.5,107.2,-0.1178
Ujjain,2021-R,154.9,151.2,-0.0234
Dewas,2021-R,147.6,149.3,0.0114
Ratlam,2021-R,105.9,110.3,0.041
Yavatmal,2022-K,920.9,966.7,0.0498
Amravati,2022-K,950.5,1003.3,0.0555
Nashik,2022-K,683.0,666.3,-0.0244
Aurangabad,2022-K,916.4,886.7,-0.0324
Indore,2022-K,694.8,736.6,0.0601
Ujjain,2022-K,779.8,769.3,-0.0134
Dewas,2022-K,875.4,797.2,-0.0893
Ratlam,2022-K,805.2,537.3,-0.3327
Yavatmal,2022-R,120.7,113.0,-0.0644
Amravati,2022-R,138.8,143.6,0.0348
Nashik,2022-R,158.3,159.9,0.01
Aurangabad,2022-R,145.0,152.0,0.0483
Indore,2022-R,121.5,117.9,-0.0299
Ujjain,2022-R,154.9,156.6,0.0111
Dewas,2022-R,147.6,154.1,0.0438
Ratlam,2022-R,105.9,103.6,-0.0217
Yavatmal,2023-K,920.9,810.9,-0.1194
Amravati,2023-K,950.5,789.1,-0.1698
Nashik,2023-K,683.0,576.2,-0.1563
Aurangabad,2023-K,916.4,772.4,-0.1572
Indore,2023-K,694.8,560.2,-0.1938
Ujjain,2023-K,779.8,687.7,-0.1181
Dewas,2023-K,875.4,734.3,-0.1611
Ratlam,2023-K,805.2,692.9,-0.1394
Yavatmal,2023-R,120.7,124.8,0.0337
Amravati,2023-R,138.8,143.2,0.0313
Nashik,2023-R,158.3,165.7,0.0466
Aurangabad,2023-R,145.0,144.0,-0.0069
Indore,2023-R,121.5,117.9,-0.0296
Ujjain,2023-R,154.9,154.0,-0.0056
Dewas,2023-R,147.6,130.2,-0.1181
Ratlam,2023-R,105.9,95.2,-0.1013
Yavatmal,2024-K,920.9,835.6,-0.0926
Amravati,2024-K,950.5,884.2,-0.0698
Nashik,2024-K,683.0,449.4,-0.342
Aurangabad,2024-K,916.4,858.3,-0.0634
Indore,2024-K,694.8,676.4,-0.0265
Ujjain,2024-K,779.8,850.7,0.0909
Dewas,2024-K,875.4,659.0,-0.2471
Ratlam,2024-K,805.2,846.8,0.0516
Yavatmal,2024-R,120.7,112.8,-0.0654
Amravati,2024-R,138.8,136.8,-0.0144
Nashik,2024-R,158.3,147.8,-0.0665
Aurangabad,2024-R,145.0,141.6,-0.0237
Indore,2024-R,121.5,96.8,-0.2032
Ujjain,2024-R,154.9,110.8,-0.2845
Dewas,2024-R,147.6,119.4,-0.1913
Ratlam,2024-R,105.9,107.7,0.0166
