rank,farmer_id,season,est_tons_t,delivered_tons,delivered_value_t,n_deliveries_t,crop_diversity_t,last_delivery_date,input_count_t,last_input_date,loan_count_t,season_idx,village,district,state,landholding_acres,collection_distance_km,join_year,lat,lon,rain_dev_t,retention_t,delivered_prev,delivered_prev2,value_prev,retention_prev,rain_dev_prev,last_input_ff,next_delivered,next_est,rain_dev_next,label,recency_days,input_recency_days,retention_trend,monetary_12m,active_3s,tenure_years,drought_exposure,segment,risk_prob,risk_prob_raw,flagged,drought_stress,recommended_action,risk_tier,main_crop
1,F01219,2024-R,5.573,1.098,32555.5,2,1,2025-05-03,1,2024-12-18,0,11,Dhanora,Amravati,Maharashtra,3.04,6.2,2018,21.2014,77.8497,-0.0144,0.19702135295173157,1.37,3.0980000000000003,81550.0,0.5391578118850847,-0.0698,2024-12-18,,,,,28.0,164.0,-0.34213645893335315,114105.5,3,6,-0.0698,Loyal Core,1.0,0.9561862683924127,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
2,F01199,2024-R,6.981,1.645,46965.0,1,1,2025-04-05,0,,0,11,Chikhali,Amravati,Maharashtra,3.9,12.3,2016,20.7079,77.8272,-0.0144,0.23563959318149263,3.487,4.2090000000000005,266479.0,0.5520899303356555,-0.0698,2024-06-02,,,,,56.0,363.0,-0.3164503371541628,313444.0,3,8,-0.0698,Loyal Core,0.975609756097561,0.9540868436386589,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
3,F02657,2024-R,3.124,0.6400000000000001,47296.0,1,1,2025-04-17,1,2025-01-03,0,11,Piploda,Ratlam,Madhya Pradesh,4.03,9.3,2024,23.1876,75.1093,0.0166,0.20486555697823305,,,0.0,0.20486555697823305,0.0166,2025-01-03,,,,,44.0,148.0,0.0,47296.0,1,0,0.0166,Needs Attention,0.975609756097561,0.9733421072341863,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
4,F02666,2024-R,2.099,0.565,42007.75,1,1,2025-05-15,0,,0,11,Jatwada,Aurangabad,Maharashtra,2.46,26.0,2024,19.9206,75.0815,-0.0237,0.2691757979990471,,,0.0,0.2691757979990471,-0.0237,,,,,,16.0,999.0,0.0,42007.75,1,0,-0.0237,Stable,0.975609756097561,0.9631072595377966,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
5,F01275,2024-R,4.287,0.857,31475.0,4,2,2025-05-03,0,,0,11,Fulsungi,Amravati,Maharashtra,1.64,26.2,2018,21.0492,77.7296,-0.0144,0.19990669465826919,1.4529999999999998,2.2,106827.0,0.5297119941669705,-0.0698,2024-06-04,,,,,28.0,361.0,-0.3298052995087013,138302.0,3,6,-0.0698,Loyal Core,0.9657508252897723,0.9472329904226737,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Gram
6,F02611,2024-R,3.908,1.213,34570.5,2,1,2025-04-19,0,,0,11,Chikhali,Amravati,Maharashtra,2.13,14.1,2024,20.7079,77.8272,-0.0144,0.31038894575230297,0.595,,35970.0,0.32389765922700053,-0.0698,2024-07-15,,,,,42.0,320.0,-0.013508713474697565,70540.5,2,0,-0.0698,Stable,0.944359756097561,0.953906970305501,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Wheat
7,F02684,2024-R,1.2,0.206,15089.5,1,1,2025-04-21,0,,0,11,Namli,Ratlam,Madhya Pradesh,1.5,23.9,2024,23.5949,74.8121,0.0166,0.17166666666666666,,,0.0,0.17166666666666666,0.0166,,,,,,40.0,999.0,0.0,15089.5,1,0,0.0166,Needs Attention,0.944359756097561,0.9471289815396507,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
8,F02520,2024-R,1.25,0.231,17070.9,2,1,2025-03-28,0,,0,11,Shahapur,Aurangabad,Maharashtra,1.51,19.7,2022,19.8895,75.0629,-0.0237,0.18480000000000002,0.594,0.545,33679.8,0.41978798586572436,-0.0634,2024-06-08,,,,,64.0,357.0,-0.23498798586572434,50750.700000000004,3,2,-0.0634,Needs Attention,0.9377309682187731,0.9119556187797397,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
9,F02658,2024-R,3.098,0.894,62133.0,1,1,2025-03-02,1,2024-12-29,0,11,Jatwada,Aurangabad,Maharashtra,3.87,26.0,2024,19.9206,75.0815,-0.0237,0.2885732730794061,,,0.0,0.2885732730794061,-0.0237,2024-12-29,,,,,90.0,153.0,0.0,62133.0,1,0,-0.0237,Severing,0.9377309682187731,0.9348905725632,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
10,F02681,2024-R,4.286,0.9770000000000001,73376.05,3,1,2025-03-19,0,,0,11,Namli,Ratlam,Madhya Pradesh,5.74,23.9,2024,23.5949,74.8121,0.0166,0.22795146990200657,,,0.0,0.22795146990200657,0.0166,,,,,,73.0,999.0,0.0,73376.05,1,0,0.0166,Severing,0.9377309682187731,0.9305106425191059,True,False,Loyalty intervention: visit + advance-payment contract,Critical,Mustard
