farmer_id,village,district,state,main_crop,landholding_acres,recency_days,retention_t,retention_trend,monetary_12m,risk_prob,risk_tier,segment,drought_stress,recommended_action
F01003,Ambodi,Yavatmal,Maharashtra,Cotton,1.47,68.0,0.5394605394605395,0.014791466055003921,139688.4,0.05817921343035498,Low,Stable,False,Monitor
F01008,Ambodi,Yavatmal,Maharashtra,Cotton,1.43,44.0,0.7259713701431493,-0.09504885852879452,185831.69999999998,0.05201676725048307,Low,Loyal Core,False,Monitor
F01009,Ambodi,Yavatmal,Maharashtra,Cotton,1.45,25.0,0.25862068965517243,-0.4509570652366917,82346.45,0.9114151787450889,Critical,Loyal Core,False,Loyalty intervention: visit + advance-payment contract
F01013,Ambodi,Yavatmal,Maharashtra,Gram,2.83,53.0,0.5873096446700508,0.07047290997617317,181376.8,0.05090708387561673,Low,Loyal Core,False,Monitor
F01020,Ambodi,Yavatmal,Maharashtra,Wheat,0.73,36.0,0.5178110480123904,0.08537861557995802,59663.8,0.05751822635632443,Low,Stable,False,Monitor
F01021,Ambodi,Yavatmal,Maharashtra,Gram,2.25,18.0,0.7775200713648527,0.020720493862872225,401249.6,0.018590131050194948,Low,Champions,False,Monitor
F01023,Chandur K,Yavatmal,Maharashtra,Cotton,1.81,48.0,0.7796735905044511,-0.0961653356700457,169367.85,0.04325891039137705,Low,Loyal Core,False,Monitor
F01029,Chandur K,Yavatmal,Maharashtra,Cotton,2.34,64.0,0.6132789749563191,0.06001234752842033,166830.34999999998,0.04282792628665522,Low,Loyal Core,False,Monitor
F01035,Chandur K,Yavatmal,Maharashtra,Wheat,1.03,59.0,0.7973273942093542,0.03429147300425561,174997.05,0.015070814593347682,Low,Loyal Core,False,Monitor
F01037,Chandur K,Yavatmal,Maharashtra,Wheat,1.41,49.0,0.7759957230686982,-0.009912136009892603,245492.0,0.015070814593347682,Low,Loyal Core,False,Monitor
F01044,Chandur K,Yavatmal,Maharashtra,Gram,3.99,23.0,0.7266072266541531,0.042458433088469416,627486.85,0.025662643085591942,Low,Champions,False,Monitor
F01050,Dabha,Yavatmal,Maharashtra,Cotton,5.07,40.0,0.3026147959183673,-0.4519650237966662,317054.95,0.9180439666238768,Critical,Champions,False,Loyalty intervention: visit + advance-payment contract
F01051,Dabha,Yavatmal,Maharashtra,Cotton,2.47,62.0,0.4579410402839945,-0.08656157751705251,215929.75,0.06406009431123585,Low,Loyal Core,False,Monitor
F01064,Dabha,Yavatmal,Maharashtra,Cotton,5.0,21.0,0.7662125340599456,-0.09820362532024263,489402.8,0.017738886104461813,Low,Champions,False,Monitor
F01071,Dabha,Yavatmal,Maharashtra,Cotton,1.78,27.0,0.56,-0.07984539704848914,177580.65,0.04943906876736292,Low,Loyal Core,False,Monitor
F01079,Pardi,Yavatmal,Maharashtra,Cotton,1.84,44.0,0.5597532767925983,0.06699465610294314,168524.95,0.056816964084234665,Low,Loyal Core,False,Monitor
F01081,Pardi,Yavatmal,Maharashtra,Wheat,2.69,28.0,0.8660762942779292,0.052482061528186574,398171.55000000005,0.02065862301134478,Low,Champions,False,Monitor
F01082,Pardi,Yavatmal,Maharashtra,Cotton,1.53,22.0,0.9990393852065322,0.08491196138381751,164261.8,0.0645725114903197,Low,Champions,False,Monitor
F01092,Pardi,Yavatmal,Maharashtra,Cotton,2.4,71.0,0.5823914336704343,0.039274550553551224,221112.90000000002,0.05010005584139347,Low,Loyal Core,False,Monitor
F01098,Pardi,Yavatmal,Maharashtra,Cotton,1.37,30.0,0.8227311280746394,0.1478379149754463,226048.95,0.018590131050194948,Low,Champions,False,Monitor
F01104,Sakarda,Yavatmal,Maharashtra,Gram,4.7,25.0,0.8764928633847948,-0.03927899549123359,690782.0,0.01918631546990878,Low,Champions,False,Monitor
F01105,Sakarda,Yavatmal,Maharashtra,Gram,3.71,21.0,0.8536098923015557,-0.016131618088712774,546680.95,0.018590131050194948,Low,Champions,False,Monitor
F01107,Sakarda,Yavatmal,Maharashtra,Cotton,2.8,71.0,0.8147379346133887,-0.008243431846238547,395969.5,0.015070814593347682,Low,Loyal Core,False,Monitor
F01110,Sakarda,Yavatmal,Maharashtra,Gram,2.79,19.0,0.8185153824442563,0.006507508428508224,406910.5,0.018590131050194948,Low,Champions,False,Monitor
F01111,Sakarda,Yavatmal,Maharashtra,Gram,2.47,58.0,0.7878260869565218,-0.11430622578268002,249624.40000000002,0.024177939468192043,Low,Loyal Core,False,Monitor
F01112,Sakarda,Yavatmal,Maharashtra,Gram,3.76,48.0,0.8428870501445519,-0.07827968221650461,556165.65,0.03374180067455346,Low,Loyal Core,False,Monitor
F01114,Sakarda,Yavatmal,Maharashtra,Gram,2.71,25.0,0.596292481977343,0.0666221523070133,185063.7,0.05020582160352697,Low,Loyal Core,False,Monitor
F01116,Sakarda,Yavatmal,Maharashtra,Gram,2.2,18.0,0.8388814913448737,0.0865697344096028,199919.7,0.014743977204041102,Low,Champions,False,Monitor
F01120,Sakarda,Yavatmal,Maharashtra,Wheat,3.05,55.0,0.900089092528955,0.028463162667105912,607673.8,0.025662643085591942,Low,Loyal Core,False,Monitor
F01121,Sakarda,Yavatmal,Maharashtra,Cotton,1.06,81.0,0.503731343283582,-0.08796415844652183,105853.8,0.05817921343035498,Low,Stable,False,Monitor
F01122,Sakarda,Yavatmal,Maharashtra,Cotton,0.79,29.0,0.5704600484261502,-0.021612618791025606,99654.15,0.027922598036724963,Low,Loyal Core,False,Monitor
F01131,Vadki,Yavatmal,Maharashtra,Gram,1.98,29.0,0.8624390243902441,0.023924083249284078,382432.35,0.024774123887905876,Low,Champions,False,Monitor
F01133,Vadki,Yavatmal,Maharashtra,Cotton,1.17,18.0,0.45146276595744683,-0.020047950195192954,119607.15,0.07131026901424076,Low,Loyal Core,False,Monitor
F01139,Vadki,Yavatmal,Maharashtra,Cotton,1.55,22.0,0.8229789446321808,0.08420717561293234,205025.6,0.018590131050194948,Low,Champions,False,Monitor
F01141,Vadki,Yavatmal,Maharashtra,Wheat,2.67,29.0,0.799083269671505,-0.07657683594539366,368743.85,0.015070814593347682,Low,Champions,False,Monitor
F01147,Vadki,Yavatmal,Maharashtra,Gram,3.38,21.0,0.7913767537355996,-0.05001323422242543,668553.8,0.01918631546990878,Low,Champions,False,Monitor
F01151,Vadki,Yavatmal,Maharashtra,Cotton,0.7,44.0,0.7520325203252034,-0.096452328159645,100152.15000000001,0.0379012765921482,Low,Loyal Core,False,Monitor
F01152,Vadki,Yavatmal,Maharashtra,Gram,4.14,35.0,0.31902626521460603,-0.4349342908798008,288643.19999999995,0.8746504728627359,Critical,Loyal Core,False,Loyalty intervention: visit + advance-payment contract
F01153,Vadki,Yavatmal,Maharashtra,Cotton,2.9,26.0,0.9231378763866879,0.1566048102544232,425563.1,0.02332669452245891,Low,Champions,False,Monitor
F01158,Borgaon,Amravati,Maharashtra,Wheat,2.75,19.0,0.48783235691753046,-0.04080028819349413,135507.0,0.057804363848927426,Low,Loyal Core,False,Monitor
