season,value_inr,tons,active_farmers,avg_retention
2019-K,100929775.85,2137.421,1248,0.4842340649314359
2019-R,79981327.4,2406.516,916,0.3893157068486288
2020-K,79796620.7,1619.814,775,0.3507141789440863
2020-R,72081411.55,2099.859,706,0.32129496084159087
2021-K,68039406.75,1377.9660000000001,676,0.37807613318809136
2021-R,71151360.2,1971.132,662,0.4715206928055888
2022-K,61942451.35,1242.737,617,0.444819400739695
2022-R,70083307.05,1855.4660000000001,616,0.5031531882175444
2023-K,69442101.4,1263.118,577,0.4695365820142499
2023-R,68488362.3,1762.472,547,0.4964404462383617
2024-K,62521611.3,950.638,554,0.43262597384213836
2024-R,62391977.8,1475.357,539,0.4660904013912372
