village,district,state,lat,lon,farmers,avg_risk,at_risk
Ambodi,Yavatmal,Maharashtra,19.879,78.3297,8,0.15312892158177865,1
Bagli,Dewas,Madhya Pradesh,22.9642,75.93,12,0.08828258878795696,0
Bajna,Ratlam,Madhya Pradesh,23.5084,75.2526,7,0.13138494472763446,0
Barnagar,Ujjain,Madhya Pradesh,23.2867,75.7948,8,0.061898545297064914,0
Bicholi,Indore,Madhya Pradesh,22.45,75.8249,12,0.18375271407517382,0
Borgaon,Amravati,Maharashtra,20.7194,77.5809,13,0.1500778078234877,1
Chandur K,Yavatmal,Maharashtra,19.8037,78.3451,11,0.040713788535800675,0
Chikhali,Amravati,Maharashtra,20.7079,77.8272,10,0.21446117015560356,2
Dabha,Yavatmal,Maharashtra,20.291,77.9688,11,0.12368989572691805,1
Depalpur,Indore,Madhya Pradesh,22.6682,76.0947,15,0.08289747965514187,0
Dhanora,Amravati,Maharashtra,21.2014,77.8497,5,0.21974737757014795,1
Dindori,Nashik,Maharashtra,20.0963,73.6085,11,0.12753369349497531,1
Eklara,Amravati,Maharashtra,20.7114,77.6833,8,0.044098084824319525,0
Fulsungi,Amravati,Maharashtra,21.0492,77.7296,7,0.16424738333368363,1
Garkheda,Aurangabad,Maharashtra,19.6329,75.5597,10,0.052539155217117994,0
Ghatia,Ujjain,Madhya Pradesh,23.0902,75.9178,12,0.09963257865908708,0
Harsola,Indore,Madhya Pradesh,22.4845,75.8069,8,0.10762957794484279,0
Hiwra,Aurangabad,Maharashtra,20.1305,75.2991,12,0.04352435916060884,0
Jaora,Ratlam,Madhya Pradesh,23.0742,74.8316,10,0.03791240055203372,0
Jatwada,Aurangabad,Maharashtra,19.9206,75.0815,14,0.3030579069305573,4
Kampel,Indore,Madhya Pradesh,22.6452,76.1081,5,0.11179169755570802,0
Kannod,Dewas,Madhya Pradesh,23.2309,76.1393,13,0.07863746546926252,0
Karmad,Aurangabad,Maharashtra,19.9297,75.4488,16,0.13183320148589545,1
Khachrod,Ujjain,Madhya Pradesh,23.4075,75.7683,14,0.06734177799834785,0
Khategaon,Dewas,Madhya Pradesh,22.9402,76.2985,14,0.12821618435413426,0
Khedgaon,Nashik,Maharashtra,20.2495,74.0184,9,0.14485263848042554,1
Mangliya,Indore,Madhya Pradesh,22.795,76.0785,14,0.10694516758099722,0
Nagda,Ujjain,Madhya Pradesh,22.9689,75.6487,14,0.07214010165083495,0
Namli,Ratlam,Madhya Pradesh,23.5949,74.8121,8,0.3426737032974456,2
Ozar,Nashik,Maharashtra,20.1937,73.533,7,0.24415671187157548,1
Padegaon,Aurangabad,Maharashtra,19.8646,75.3922,12,0.18116788110822737,1
Palkhed,Nashik,Maharashtra,19.9121,73.9102,11,0.17273805335323966,1
Pardi,Yavatmal,Maharashtra,20.2618,78.0294,12,0.03695453777206805,0
Piploda,Ratlam,Madhya Pradesh,23.1876,75.1093,16,0.19024286763451304,3
Sailana,Ratlam,Madhya Pradesh,23.1496,75.2334,9,0.04284291427875297,0
Sakarda,Yavatmal,Maharashtra,20.3367,77.8716,21,0.0738551826486352,1
Sanwer,Indore,Madhya Pradesh,22.8361,75.9942,10,0.08638463261317067,0
Satwas,Dewas,Madhya Pradesh,22.9474,76.0965,6,0.05697358910384447,0
Shahapur,Aurangabad,Maharashtra,19.8895,75.0629,10,0.12383896787703322,1
Sirsam,Nashik,Maharashtra,19.7978,73.9837,13,0.20166608865824048,2
Sonkatch,Dewas,Madhya Pradesh,22.8715,75.9875,10,0.112440813386338,0
Tal,Ratlam,Madhya Pradesh,23.1424,75.3049,10,0.033862113772218906,0
Titrod,Ujjain,Madhya Pradesh,23.3841,75.7786,14,0.07705603889306602,0
Udaynagar,Dewas,Madhya Pradesh,23.015,75.8311,16,0.09412736647590694,0
Unhel,Ujjain,Madhya Pradesh,23.3393,75.8667,11,0.09230729722161574,0
Vadki,Yavatmal,Maharashtra,20.257,77.9854,10,0.11639410068975246,1
Vani,Nashik,Maharashtra,20.178,73.8491,18,0.11294920532804964,0
Wadner,Amravati,Maharashtra,21.0341,77.7566,12,0.036551075797742236,0
